"Name:","walk_1_1.csv"
"EXPERIMENT TIME:","06/06/2023 15:09"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","10"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-9.53","2.16","0.20"
"0.049926758","-10.28","2.43","0.35"
"0.099975586","-10.24","2.39","-0.75"
"0.14990234","-10.12","1.73","-0.63"
"0.20996094","-10.12","4.47","-0.82"
"0.2598877","-9.38","6.16","-0.12"
"0.30993652","-10.20","4.90","-0.55"
"0.35998535","-10.28","4.98","1.84"
"0.4099121","-7.88","4.67","1.57"
"0.45996094","-8.90","4.71","1.65"
"0.5098877","-9.06","4.47","1.80"
"0.5599365","-9.26","3.69","1.61"
"0.60998535","-8.75","4.00","0.98"
"0.6599121","-9.18","5.18","0.35"
"0.7199707","-9.10","4.59","0.51"
"0.76989746","-8.94","5.10","-0.51"
"0.8199463","-9.89","5.49","-0.67"
"0.8699951","-9.73","4.55","-0.39"
"0.9199219","-9.65","4.51","-0.04"
"0.9699707","-9.26","3.84","-0.39"
"1.0198975","-9.38","4.71","-0.39"
"1.0699463","-9.73","4.82","-0.75"
"1.1199951","-10.08","4.16","-0.47"
"1.1699219","-9.89","3.69","-0.04"
"1.2299805","-10.12","2.86","-0.04"
"1.2799072","-10.20","2.90","0.55"
"1.329956","-10.24","3.02","0.59"
"1.3798828","-10.40","3.06","0.71"
"1.4299316","-9.73","2.75","0.71"
"1.4799805","-10.08","2.75","0.16"
"1.5299072","-9.89","2.75","0.27"
"1.579956","-10.79","2.47","0.31"
"1.6298828","-9.96","2.59","0.08"
"1.6799316","-10.00","2.51","0.35"
"1.7399902","-9.96","2.08","0.24"
"1.789917","-10.24","2.31","0.27"
"1.8399658","-9.73","2.12","0.86"
"1.8898926","-10.20","2.82","0.27"
"1.9399414","-9.34","3.37","0.47"
"1.9899902","-10.28","2.51","0.00"
"2.039917","-9.61","2.24","0.47"
"2.0899658","-11.45","1.53","0.51"
"2.1398926","-13.18","0.51","1.22"
"2.1999512","-15.73","1.06","-0.63"
"2.25","-9.77","5.22","-0.78"
"2.2999268","-8.87","4.16","-0.27"
"2.3499756","-10.04","2.71","-0.47"
"2.3999023","-7.85","5.22","1.10"
"2.4499512","-7.65","2.08","1.37"
"2.5","-5.73","2.24","1.18"
"2.5499268","-6.90","1.77","3.30"
"2.5999756","-10.71","2.28","4.55"
"2.6499023","-14.67","4.04","5.77"
"2.709961","-15.77","13.53","-4.39"
"2.7598877","-6.51","2.79","0.04"
"2.8099365","-9.41","4.16","-1.69"
"2.8599854","-7.96","1.61","0.55"
"2.909912","-6.00","3.45","-0.12"
"2.959961","-8.63","2.86","-0.31"
"3.0098877","-9.69","0.71","0.39"
"3.0599365","-8.94","3.22","1.45"
"3.1099854","-9.18","3.33","1.29"
"3.159912","-12.08","1.65","-0.47"
"3.2199707","-11.22","5.88","2.08"
"3.2698975","-13.22","0.71","-7.45"
"3.3199463","-11.57","11.34","-2.71"
"3.369995","-15.06","0.43","-0.12"
"3.4199219","-8.28","4.31","0.94"
"3.4699707","-6.20","1.69","0.27"
"3.5198975","-6.35","3.88","2.04"
"3.5699463","-5.14","3.37","1.53"
"3.619995","-8.24","2.00","3.10"
"3.6699219","-10.47","2.47","3.69"
"3.7299805","-13.45","6.08","7.61"
"3.7799072","-12.20","1.29","3.45"
"3.829956","-13.06","14.08","0.98"
"3.8798828","-6.98","1.14","0.59"
"3.9299316","-10.12","2.75","-0.31"
"3.9799805","-6.71","3.69","-0.31"
"4.029907","-6.90","3.84","-0.43"
"4.079956","-10.00","1.14","0.31"
"4.129883","-10.20","1.61","0.98"
"4.1799316","-10.20","4.20","1.80"
"4.23999","-13.10","1.37","-0.59"
"4.289917","-12.59","7.61","1.92"
"4.339966","-10.59","3.61","-6.08"
"4.3898926","-11.30","7.34","-1.29"
"4.4399414","-11.41","2.51","-1.06"
"4.48999","-7.26","3.14","0.35"
"4.539917","-6.86","2.47","0.27"
"4.589966","-6.32","3.10","3.06"
"4.6398926","-6.47","1.57","2.20"
"4.6899414","-10.36","1.14","3.80"
"4.75","-11.38","6.12","2.79"
"4.7999268","-17.57","5.02","5.57"
"4.8499756","-12.12","18.59","-1.41"
"4.8999023","-4.43","1.18","-1.92"
"4.949951","-9.14","3.37","0.43"
"5.0","-6.20","4.55","-0.08"
"5.0499268","-6.16","3.65","-1.22"
"5.0999756","-8.24","1.92","-0.08"
"5.1499023","-9.89","1.26","0.94"
"5.199951","-9.38","3.80","1.41"
"5.25","-11.69","2.16","1.80"
"5.3099365","-11.65","6.39","1.88"
"5.3599854","-10.63","6.00","-6.39"
"5.409912","-10.55","7.53","0.00"
"5.459961","-11.53","0.82","0.08"
"5.5098877","-7.41","2.59","0.39"
"5.5599365","-5.88","3.14","0.24"
"5.6099854","-5.96","4.24","3.88"
"5.659912","-5.77","2.28","2.24"
"5.709961","-10.00","0.78","4.39"
"5.7598877","-11.57","5.96","2.51"
"5.8199463","-16.51","5.10","6.55"
"5.869995","-14.20","20.01","3.33"
"5.919922","-1.84","-0.24","-2.12"
"5.9699707","-10.24","4.82","1.57"
"6.0198975","-5.88","3.88","0.43"
"6.0699463","-7.26","2.43","-0.51"
"6.119995","-8.43","1.41","0.47"
"6.169922","-9.73","1.65","1.06"
"6.2199707","-9.96","3.45","1.57"
"6.2698975","-11.96","2.82","1.06"
"6.329956","-11.41","5.88","2.04"
"6.379883","-12.16","3.69","-6.20"
"6.4299316","-10.79","7.30","-0.98"
"6.4799805","-12.00","0.90","0.55"
"6.529907","-7.22","3.92","0.94"
"6.579956","-5.45","3.26","0.08"
"6.629883","-7.81","3.06","2.39"
"6.6799316","-4.90","2.75","2.12"
"6.7299805","-8.90","0.55","4.75"
"6.779907","-11.10","6.24","1.29"
"6.839966","-17.26","3.88","7.22"
"6.8898926","-13.57","19.93","-8.67"
"6.9399414","-4.98","-1.10","-4.59"
"6.98999","-9.96","3.77","-0.86"
"7.039917","-8.24","4.67","-0.16"
"7.089966","-6.39","3.96","0.12"
"7.1398926","-8.16","2.35","0.35"
"7.1899414","-9.30","1.29","0.90"
"7.23999","-9.49","3.92","1.41"
"7.289917","-9.65","3.18","0.67"
"7.3499756","-10.67","3.02","-0.67"
"7.3999023","-10.36","3.80","1.10"
"7.449951","-10.00","4.59","-5.37"
"7.5","-14.87","9.14","-5.41"
"7.5499268","-5.30","6.08","1.57"
"7.5999756","-9.96","4.51","0.00"
"7.6499023","-6.00","4.31","-0.51"
"7.699951","-8.32","4.20","1.18"
"7.75","-9.26","4.94","0.98"
"7.7999268","-9.69","5.10","1.26"
"7.8599854","-9.34","4.04","1.10"
"7.909912","-8.79","4.86","0.35"
"7.959961","-7.85","5.92","0.55"
"8.009888","-8.43","5.06","1.37"
"8.059937","-8.75","5.22","1.26"
"8.109985","-8.94","4.43","1.73"
"8.159912","-9.41","5.26","1.57"
