NAME:,run_2_2.csv,,
EXPERIMENT TIME:,06/06/2023 12:06,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,60,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
72.186,-10.316596,1.294478,-1.216025
72.267,-10.51273,1.176798,-1.372931
72.348,-10.355823,1.137571,-1.451384
72.429,-10.39505,1.019892,-1.372931
72.51,-10.708862,0.784532,-1.333704
72.591,-10.473503,0.706079,-0.902212
72.672,-9.610518,1.255251,-1.372931
72.753,-10.316596,1.294478,-0.784532
72.834,-10.51273,1.019892,-1.098345
72.915,-9.649744,1.804424,-1.372931
72.996,-11.297261,1.686744,-0.039227
73.077,-10.355823,1.529837,-0.666852
73.158,-10.081236,2.19669,-1.412158
73.239,-10.355823,0,-0.11768
73.32,-10.708862,0.745305,0.823759
73.401,-14.631523,3.334261,1.804424
73.482,-11.140355,4.707192,-1.098345
73.563,-2.706636,1.686744,-1.84365
73.644,-15.180696,5.413271,-4.667965
73.725,-19.574074,2.392823,3.491168
73.806,-19.299488,-4.628739,-1.725971
73.887,-2.471276,-3.295035,-7.178468
73.968,-0.274586,-1.216025,1.490611
74.049,-20.005568,-5.256365,-3.608848
74.13,-20.005568,5.374045,0.156906
74.211,3.138128,4.589512,-8.119907
74.292,-5.060232,-3.608848,-4.432606
74.373,-18.005011,6.433163,10.826543
74.454,-20.005568,0.313813,12.199473
74.535,-20.005568,-3.92266,4.04034
74.616,-3.687301,2.07901,-6.276257
74.697,-0.627626,-0.941438,-3.726527
74.778,-20.005568,-1.84365,5.256365
74.859,-16.200586,-4.15802,4.15802
74.94,1.608291,-0.549172,-11.414941
75.021,-3.255808,-4.2757,-0.784532
75.102,-15.063015,0.549172,-5.491724
75.183,-20.005568,-12.709418,11.140355
75.264,-5.060232,-11.022676,-13.376271
75.345,4.118793,0.156906,-5.727084
75.426,-12.866325,-2.706636,-11.53262
75.507,-20.005568,-3.608848,2.157463
75.588,0.823759,6.315483,-4.785645
75.669,-4.393379,-0.196133,-6.393936
75.75,-9.924331,5.060232,-14.474616
75.831,-17.298931,6.786202,8.08068
75.912,-20.005568,-2.785089,4.471833
75.993,-2.549729,5.021005,-7.100015
76.074,-0.902212,5.217138,-6.433163
76.155,-20.005568,-7.492281,4.432606
76.236,-20.005568,0.039227,4.903325
76.317,3.530394,3.765754,-8.394493
76.398,-3.765754,-1.608291,-3.883434
76.479,-17.848104,-2.07901,-0.549172
76.56,-20.005568,-10.198917,5.570178
76.641,-0.23536,-5.570178,-10.669636
76.682,3.530394,3.765754,-8.394493
76.986,-3.765754,-1.608291,-3.883434
77.252,-17.848104,-2.07901,-0.549172
77.411,-20.005568,-10.198917,5.570178
77.641,-0.23536,-5.570178,-10.669636
77.858,-19.966339,5.334818,-1.765197
77.884,-20.005568,-3.92266,10.669636
77.899,-2.941995,-2.706636,-8.825986
77.918,-6.786202,3.883434,1.647517
77.928,-20.005568,-5.727084,5.648631
77.939,-20.005568,-3.92266,10.669636
77.99,-2.941995,-2.706636,-8.825986
78.189,-6.786202,3.883434,1.647517
78.22,-20.005568,-5.727084,5.648631
78.287,0.353039,-10.944222,-9.649744
78.378,5.570178,2.19669,-2.07901
78.513,-15.769094,-5.256365,-17.76965
78.617,-20.005568,-6.550843,0.078453
78.888,-0.784532,-2.824315,-1.255251
78.911,-2.941995,-2.706636,-8.825986
79.316,-6.786202,3.883434,1.647517
79.397,-20.005568,-5.727084,5.648631
79.478,0.353039,-10.944222,-9.649744
79.559,5.570178,2.19669,-2.07901
79.64,-15.769094,-5.256365,-17.76965
79.721,-20.005568,-6.550843,0.078453
79.802,-0.784532,-2.824315,-1.255251
79.883,-5.727084,1.255251,-9.532064
79.964,-4.707192,3.138128,-6.080123
80.045,-3.059675,5.099459,1.137571
80.126,-20.005568,-4.942552,6.786202
80.207,-0.078453,-6.23703,-11.767981
80.288,2.785089,4.824872,-6.943109
80.369,-7.727641,-5.295591,-12.513286
80.45,-20.005568,-10.591183,5.217138
80.531,-9.845878,1.647517,0.823759
80.612,-8.237586,1.294478,-7.963
80.693,-2.157463,0.353039,-3.412714
80.774,-17.024345,-4.001113,-1.569064
80.855,-20.005568,-14.906109,12.670193
80.936,0.509946,-1.216025,-11.454168
81.017,-1.608291,5.570178,-9.492838
81.098,-0.745305,-7.178468,-1.922104
81.179,-20.005568,-7.413828,0.902212
81.26,-11.846434,5.138685,2.157463
81.341,-4.197247,3.177355,-11.022676
81.422,-1.569064,-2.588956,-4.511059
81.503,-6.158576,3.765754,0.353039
81.584,-20.005568,-2.000557,5.805537
81.665,-4.393379,-3.373488,-10.708862
81.746,2.235916,1.412158,-6.511616
81.827,-18.279596,0.078453,-3.491168
81.908,-20.005568,-2.039783,4.2757
81.989,5.413271,0.11768,-3.177355
82.07,-4.393379,-2.000557,-5.491724
82.151,-2.941995,-4.236473,-2.941995
82.232,-2.824315,2.157463,10.51273
82.313,-6.707749,-2.745862,0.588399
82.394,-6.354709,-6.315483,-7.256921
82.475,3.687301,3.138128,2.275143
82.556,-20.005568,-5.256365,1.294478
82.637,-20.005568,4.707192,1.608291
82.718,5.138685,5.491724,-8.943666
82.799,-4.471833,1.84365,-18.632637
82.88,-5.021005,5.217138,0.039227
82.961,-20.005568,-0.549172,-0.274586
83.042,-1.098345,-6.825429,-10.04201
83.123,4.471833,2.471276,-3.883434
83.204,-20.005568,-0.274586,1.647517
83.285,-20.005568,-0.549172,4.981779
83.366,5.491724,0.431493,-3.530394
83.447,-5.923217,-1.333704,-7.413828
83.528,-20.005568,7.296148,-9.257479
83.609,-20.044794,1.137571,4.707192
83.69,-15.180696,-3.569621,0.392266
83.771,-3.530394,-6.11935,-6.590069
83.852,0.509946,1.84365,-2.275143
83.933,-20.005568,-12.513286,1.922104
84.014,-10.551956,-8.237586,3.334261
84.095,6.903882,4.2757,-6.11935
84.176,-1.686744,-0.431493,-5.413271
84.257,-11.53262,2.31437,2.824315
84.338,-20.005568,-7.84532,8.512173
84.419,-1.098345,-1.176798,-12.984006
84.5,3.530394,3.059675,-5.76631
84.581,-20.005568,0.549172,-11.571848
85.149,-3.883434,0.039227,-10.120463
85.23,1.098345,-0.23536,-6.23703
85.311,-20.005568,-5.334818,0.862985
85.392,-20.005568,2.863542,4.589512
85.473,6.158576,0.470719,-5.021005
85.554,-4.746419,-4.079566,-4.903325
85.635,-14.278483,-1.294478,5.060232
85.716,-20.005568,-0.11768,5.374045
85.797,-0.313813,1.922104,-4.2757
85.878,2.471276,-1.294478,-4.471833
85.959,-7.453054,2.706636,1.569064
86.04,-20.005568,-10.983448,2.628182
86.121,-15.416055,1.647517,1.765197
86.202,1.137571,-1.451384,-4.589512
86.283,-3.883434,-4.197247,0.039227
86.364,-13.650858,-1.608291,0.039227
86.445,-20.005568,-6.903882,14.945335
86.526,-5.099459,-4.824872,-15.063015
86.607,1.608291,0.706079,-7.139242
86.688,-20.005568,-4.667965,-2.392823
86.769,-20.005568,-3.059675,2.157463
