NAME:,walk_3_1.csv,,
EXPERIMENT TIME:,06/06/2023 11:53,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,60,,
,,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
182.007,-10.081236,-1.882877,0.666852
182.088,-10.04201,-1.725971,0.666852
182.169,-10.081236,-1.84365,0.706079
182.25,-10.081236,-1.922104,0.666852
182.331,-10.120463,-1.96133,0.588399
182.412,-9.963557,-1.765197,0.745305
182.493,-10.04201,-1.765197,0.666852
182.574,-10.15969,-1.84365,0.666852
182.655,-10.04201,-1.804424,0.588399
182.736,-10.04201,-1.84365,0.666852
182.817,-10.15969,-1.725971,0.627626
182.898,-10.04201,-1.882877,0.666852
182.979,-10.120463,-1.686744,0.627626
183.06,-10.081236,-1.647517,0.627626
183.141,-10.04201,-1.804424,0.666852
183.222,-10.120463,-1.725971,0.470719
183.303,-10.04201,-1.765197,0.549172
183.384,-10.198917,-1.647517,0.666852
183.465,-10.04201,-1.725971,0.706079
183.546,-10.04201,-1.765197,0.666852
183.627,-10.15969,-1.725971,1.098345
183.708,-9.80665,-1.412158,0.588399
183.789,-10.473503,-1.490611,0.392266
183.87,-10.120463,-1.96133,0.470719
183.951,-10.198917,-2.07901,0.549172
184.032,-9.218252,-2.118237,0.588399
184.113,-9.649744,-1.451384,2.588956
184.194,-9.963557,0.666852,2.19669
184.275,-8.31604,-0.666852,2.471276
184.356,-8.43372,0.078453,2.745862
184.437,-8.629852,0.078453,2.588956
184.518,-11.650301,-2.549729,4.785645
184.599,-12.003341,-1.372931,2.039783
184.68,-8.66908,-2.785089,0.156906
184.761,-9.885103,-2.235916,0.274586
184.842,-9.571291,-2.785089,0.156906
184.923,-8.708306,-0.392266,-0.11768
185.004,-9.492838,-0.549172,-0.23536
185.085,-10.473503,-2.628182,1.019892
185.166,-10.15969,0.470719,-1.019892
185.247,-15.023788,-4.197247,0.274586
185.328,-8.66908,-4.981779,-0.313813
185.409,-10.74809,-1.294478,1.608291
185.49,-8.943666,-1.176798,0.353039
185.571,-7.021562,-0.274586,1.451384
185.652,-6.511616,1.019892,2.510503
185.733,-14.709976,-4.04034,-2.471276
185.814,-13.415498,-0.431493,3.844207
185.895,-11.375715,-3.961887,1.529837
185.976,-8.629852,-1.96133,-0.509946
186.057,-10.27737,-3.412714,0.470719
186.138,-7.609961,-0.862985,-0.196133
186.219,-10.355823,-1.098345,-0.156906
186.3,-8.943666,-1.294478,1.216025
186.381,-11.493395,1.176798,-0.902212
186.462,-14.082351,-2.588956,-0.862985
186.543,-11.179583,-4.981779,0.784532
186.624,-11.375715,-0.745305,0.274586
186.705,-7.531507,-0.431493,0.980665
186.786,-5.805537,-1.137571,2.628182
186.867,-6.276257,1.255251,1.294478
186.948,-17.651972,-4.707192,3.726527
187.029,-13.258593,0.196133,2.235916
187.11,-7.374601,-2.706636,0.23536
187.191,-8.825986,0.392266,1.333704
187.272,-8.825986,-2.392823,-0.156906
187.353,-7.570734,-0.862985,0
189.931,-11.022676,1.765197,-0.666852
190.012,-14.43539,-2.941995,-0.823759
192.929,-12.552513,2.745862,1.059118
193.01,-7.335374,-3.569621,1.137571
193.091,-9.375158,-1.608291,1.098345
193.172,-8.629852,-1.529837,0
193.253,-8.747532,0,-0.196133
193.334,-10.27737,-0.862985,0
193.415,-10.551956,-1.019892,0
193.496,-14.866882,-2.118237,0.549172
193.577,-10.63041,-4.981779,-1.255251
193.658,-10.74809,-3.961887,1.255251
193.739,-10.002784,-0.23536,0.666852
193.82,-5.687858,0.23536,1.372931
193.901,-6.590069,0.509946,2.275143
193.982,-19.103355,-4.903325,-2.471276
194.063,-14.121577,3.373488,2.157463
194.144,-12.277926,-7.178468,1.059118
194.225,-6.707749,0.392266,-0.196133
194.306,-10.787315,-3.098902,-0.078453
194.387,-7.766868,-0.980665,-0.078453
194.468,-10.04201,-0.353039,-0.11768
194.549,-9.296705,-0.706079,1.294478
194.63,-10.669636,1.686744,0.039227
194.711,-12.827099,-3.608848,-1.882877
194.792,-11.767981,-6.354709,1.725971
194.873,-11.218808,1.098345,0.392266
194.954,-7.413828,-0.156906,1.137571
195.035,-6.11935,-0.706079,2.824315
195.116,-4.981779,1.372931,0.392266
195.197,-16.239815,-3.961887,5.805537
195.278,-12.2387,2.353596,0.431493
195.359,-8.08068,-4.746419,1.098345
195.44,-9.257479,-0.784532,0.392266
195.521,-8.747532,-2.510503,-0.313813
195.602,-7.963,-0.902212,0.313813
195.683,-10.238143,0.23536,-0.196133
195.764,-10.865768,-1.412158,0.745305
195.845,-13.886217,-1.255251,1.176798
195.926,-10.081236,-5.530951,-1.529837
196.007,-10.39505,-3.412714,2.000557
196.088,-9.80665,0.11768,0.11768
196.169,-5.844764,-0.23536,1.137571
196.25,-6.982335,0.862985,2.157463
196.331,-10.865768,-0.980665,-1.490611
196.412,-13.258593,-0.549172,3.177355
196.493,-10.708862,-4.511059,0.862985
196.574,-8.119907,0.23536,-0.23536
196.655,-10.51273,-3.765754,0.745305
196.736,-7.492281,-0.902212,-0.078453
196.817,-9.414385,-0.862985,-0.196133
196.898,-10.081236,-1.372931,1.255251
196.979,-10.591183,1.725971,1.059118
197.06,-11.218808,-3.177355,-2.31437
197.141,-12.513286,-7.766868,2.19669
197.222,-9.885103,1.255251,-0.549172
197.303,-7.100015,-0.392266,0.823759
197.384,-6.393936,-0.823759,2.353596
197.465,-5.805537,0.666852,1.098345
197.546,-13.258593,-2.157463,5.727084
197.627,-12.47406,0.470719,-0.470719
197.708,-8.394493,-3.255808,0.196133
197.789,-10.002784,-2.471276,1.059118
197.87,-7.688414,-2.745862,-0.078453
197.951,-8.198359,-0.823759,-0.23536
198.032,-10.39505,-1.137571,0.509946
198.113,-11.218808,1.098345,-1.412158
200.71,-10.27737,2.19669,-1.451384
200.791,-5.530951,-0.941438,0.823759
201.196,-8.825986,-0.196133,-0.313813
201.277,-9.257479,-3.255808,1.019892
201.358,-8.002227,-0.509946,-0.196133
201.439,-9.139798,-1.216025,-0.353039
201.52,-10.04201,-1.451384,1.216025
201.601,-11.571848,1.216025,2.235916
201.682,-11.179583,-3.098902,-2.235916
201.763,-12.670193,-6.158576,1.765197
201.844,-10.238143,1.647517,-0.549172
201.925,-5.923217,-0.039227,0.666852
202.006,-6.040897,-0.274586,2.353596
202.087,-6.550843,0.11768,1.686744
202.168,-11.807208,-0.784532,5.570178
202.249,-13.023232,-0.627626,-0.078453
202.33,-7.256921,-1.84365,0.549172
