"NAME:","run_1_2.csv"
"EXPERIMENT TIME:","07/06/2023 21:38"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","150"

"Time [sec]","ACC X","ACC Y","ACC Z"
"128.55","10.43","0.98","4.63"
"128.64","10.0","0.78","4.59"
"128.73","10.08","0.86","4.82"
"128.82","10.32","0.82","4.67"
"128.91","10.16","0.78","4.63"
"129.0","10.36","0.71","4.75"
"129.09","10.16","0.75","4.79"
"129.18","9.49","0.35","4.9"
"129.27","9.77","0.2","4.71"
"129.37","10.51","-0.24","4.67"
"129.46","5.22","1.96","0.51"
"129.55","10.63","2.12","3.69"
"129.64","19.85","6.71","2.31"
"129.73","12.75","7.34","-1.41"
"129.82","2.47","0.31","-2.86"
"129.91","3.57","-8.67","-1.29"
"130.0","9.73","5.73","-3.1"
"130.09","20.01","9.89","14.0"
"130.18","14.44","-1.49","7.18"
"130.27","3.84","0.75","4.59"
"130.37","8.39","-17.34","4.79"
"130.46","20.01","7.1","3.33"
"130.55","12.91","5.65","-2.75"
"130.64","-1.37","-2.71","2.16"
"130.73","17.3","-15.93","5.3"
"130.82","11.57","7.57","5.96"
"130.91","15.14","0.16","14.63"
"131.0","-7.88","-4.55","-0.78"
"131.09","0.75","-1.33","1.1"
"131.19","6.39","-4.9","11.02"
"131.28","17.26","7.22","1.8"
"131.37","3.8","-8.12","5.26"
"131.46","5.92","-2.08","9.61"
"131.55","3.84","-1.77","-4.86"
"131.64","20.01","6.24","7.69"
"131.73","12.0","-0.2","2.39"
"131.82","3.33","-1.57","5.1"
"131.91","1.92","-7.96","18.55"
"132.0","17.65","8.0","13.53"
"132.09","7.37","-2.16","-2.28"
"132.19","1.88","-9.38","2.31"
"132.28","20.01","-5.92","10.0"
"132.37","17.61","-1.77","7.53"
"132.46","14.83","-2.0","7.37"
"132.55","3.69","0.9","4.79"
"132.64","-0.35","-1.18","1.45"
"132.73","20.01","-10.43","-3.06"
"132.82","14.63","6.86","2.0"
"132.91","-2.35","-1.65","-1.41"
"133.0","7.57","-2.24","2.39"
"133.1","5.92","6.32","2.16"
"133.19","14.98","5.69","-1.96"
"133.28","-2.08","0.35","0.63"
"133.37","-1.06","-1.53","2.04"
"133.46","20.01","-2.12","-2.9"
"133.55","18.44","3.37","4.31"
"133.64","-1.8","-0.78","0.55"
"133.73","6.71","16.51","-0.67"
"133.82","-6.9","-15.34","-2.63"
"133.91","18.79","6.35","1.06"
"134.01","11.69","2.55","0.59"
"134.1","0.78","0.51","3.18"
"134.19","16.51","-12.63","20.01"
"134.28","18.55","8.98","11.14"
"134.37","5.33","10.75","4.9"
"134.46","-0.98","-9.96","-0.94"
"134.55","15.81","-14.83","-0.39"
"134.64","17.89","0.35","5.41"
"134.73","17.26","3.1","6.24"
"134.82","0.08","3.69","2.35"
"134.92","-0.55","-2.39","4.79"
"135.01","20.01","-15.69","-1.49"
"135.1","13.49","-0.16","-2.79"
"135.19","-2.94","-2.94","-2.39"
"135.28","7.53","-3.73","4.55"
"135.37","-1.61","15.18","17.42"
"135.46","15.61","1.41","3.14"
"135.55","-1.49","-2.2","5.14"
"135.64","0.63","-2.31","2.51"
"135.74","16.28","-7.49","1.37"
"135.83","9.57","0.94","0.16"
"135.92","-0.24","-0.35","3.49"
"136.01","4.2","2.67","4.51"
"136.1","10.47","-12.87","0.63"
"136.19","20.01","5.45","8.75"
"136.28","-3.26","1.61","6.79"
"136.37","2.2","-1.8","1.96"
"136.46","20.01","0.82","3.69"
"136.55","8.67","19.14","-9.45"
"136.65","0.71","11.53","0.94"
"136.74","-1.14","2.43","7.22"
"136.83","1.53","-20.01","11.14"
"136.92","20.01","8.43","5.49"
"137.01","10.24","-2.24","8.12"
"137.1","3.73","-0.43","2.55"
"137.19","20.01","-12.67","15.69"
"137.28","12.32","19.1","13.85"
"137.37","4.98","-0.47","-2.04"
"137.46","-9.73","17.02","-3.69"
"137.55","11.26","20.01","14.28"
"137.65","3.18","-9.96","19.14"
"137.74","14.0","-3.88","2.98"
"137.83","5.14","1.33","2.9"
