"NAME:","walk_1_1.csv"
"EXPERIMENT TIME:","07/06/2023 21:24"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","60"

"Time [sec]","ACC X","ACC Y","ACC Z"
"516.0","10.79","-0.2","0.67"
"516.09","10.71","-0.31","0.55"
"516.18","10.55","-0.16","0.51"
"516.27","10.55","-0.2","0.51"
"516.37","10.59","-0.27","0.43"
"516.46","10.71","-0.16","0.43"
"516.55","10.67","-0.2","0.63"
"516.64","10.55","-0.2","0.59"
"516.73","10.71","-0.2","0.55"
"516.82","10.55","-0.04","0.43"
"516.91","10.2","0.0","0.67"
"517.0","10.47","0.51","0.12"
"517.09","10.59","0.43","0.08"
"517.18","10.94","0.63","-0.27"
"517.28","10.32","0.59","-0.67"
"517.37","9.92","-0.16","-0.78"
"517.46","9.3","-0.08","-1.96"
"517.55","8.9","0.04","-2.98"
"517.64","9.18","-0.82","-3.8"
"517.73","13.3","-1.41","-1.29"
"517.82","8.0","-1.49","0.82"
"517.91","11.92","-0.59","2.12"
"518.0","10.2","0.43","1.33"
"518.1","9.69","0.67","0.94"
"518.19","10.08","0.08","2.04"
"518.28","10.47","0.31","2.63"
"518.37","12.32","2.24","1.02"
"518.46","9.26","-3.73","3.69"
"518.55","15.26","-2.2","1.14"
"518.64","8.63","0.27","0.08"
"518.73","7.81","-1.49","1.73"
"518.82","7.88","-0.63","-2.0"
"518.91","14.59","-0.43","-2.04"
"519.01","10.79","-1.69","-1.73"
"519.1","4.35","-1.1","1.22"
"519.19","13.73","-0.35","7.1"
"519.28","9.14","1.65","1.49"
"519.37","8.98","2.98","-0.51"
"519.46","12.12","-0.82","1.77"
"519.55","10.55","-2.43","2.51"
"519.64","19.85","0.71","-0.31"
"519.73","9.45","0.94","1.18"
"519.82","4.35","-1.26","1.8"
"519.91","8.55","0.43","-3.53"
"520.01","18.79","2.24","-0.55"
"520.1","8.04","-3.57","8.28"
"520.19","7.45","-0.24","0.43"
"520.28","8.51","-0.9","4.08"
"520.37","9.45","1.69","0.86"
"520.46","9.61","0.98","1.53"
"520.55","11.69","1.65","2.08"
"520.64","8.43","-2.9","3.84"
"520.73","15.46","0.9","0.31"
"520.83","5.18","-0.2","1.49"
"520.92","7.45","-0.86","-1.02"
"521.01","8.59","-0.27","-2.24"
"521.1","14.04","-1.33","-1.45"
"521.19","11.85","-1.1","3.37"
"521.28","13.42","0.08","2.12"
"521.37","6.24","1.1","-0.47"
"521.46","9.85","2.39","0.27"
"521.55","12.32","0.55","3.57"
"521.64","13.02","-0.2","2.98"
"521.74","18.16","-2.12","1.26"
"521.83","9.73","2.79","-0.75"
"521.92","3.69","-1.29","2.24"
"522.01","10.08","0.2","-3.69"
"522.1","20.01","2.71","-0.47"
"522.19","13.65","-3.41","4.43"
"522.28","7.73","-0.27","0.24"
"522.37","9.73","-0.82","2.08"
"522.46","9.65","0.47","1.29"
"522.55","8.71","0.35","2.43"
"522.64","8.2","1.45","0.27"
"522.74","15.02","-0.63","2.35"
"522.83","10.94","-1.37","2.08"
"522.92","7.65","-0.63","1.61"
"523.01","12.0","-1.22","1.65"
"523.1","9.69","0.55","-0.43"
"523.19","8.47","-0.04","0.24"
"523.28","12.4","0.31","0.47"
"523.37","10.59","-0.59","1.02"
"523.46","10.51","0.08","0.27"
"523.55","10.08","-0.35","0.47"
"523.65","10.16","-0.63","0.47"
"523.74","11.26","1.53","0.27"
"523.83","10.16","0.12","-0.39"
"523.92","10.4","-0.16","-0.24"
"524.01","10.4","0.35","-0.24"
"524.1","9.73","0.24","-0.98"
"524.19","9.92","0.39","-0.94"
"524.28","9.65","-0.04","-1.49"
"524.37","10.98","0.78","-1.14"
"524.46","14.36","-1.84","2.39"
"524.56","7.1","-1.84","-0.24"
"524.65","10.67","-1.77","2.35"
"524.74","9.89","-0.59","1.84"
"524.83","10.32","1.1","-0.16"
"524.92","9.06","-0.39","2.63"
"525.01","10.71","-0.75","2.55"
"525.1","12.51","-1.53","2.9"
"525.19","13.89","-2.12","0.86"
"525.28","9.81","2.04","0.67"
"525.38","7.34","-1.1","0.27"
"525.47","8.51","1.61","-1.61"
"525.56","10.28","-0.08","-0.59"
"525.65","13.81","-1.33","-5.53"
"525.74","5.88","-1.45","0.78"
"525.83","12.67","-0.75","4.0"
"525.92","8.94","0.31","2.28"
"526.01","9.34","1.49","0.12"
"526.1","9.81","0.16","3.96"
"526.19","11.53","4.12","-1.53"
"526.28","10.47","1.8","3.41"
"526.38","12.98","-0.04","0.86"
"526.47","8.71","-0.59","0.94"
"526.56","10.87","1.45","-0.71"
"526.65","10.12","3.49","2.16"
"526.74","7.18","-3.88","6.39"
"526.83","16.87","-1.37","3.57"
"526.92","13.14","4.51","-0.86"
"527.01","9.85","-0.86","3.37"
"527.1","11.34","1.41","1.77"
"527.2","10.04","2.9","1.8"
"527.29","10.79","0.98","3.73"
"527.38","14.83","2.47","3.57"
"527.47","11.34","-2.31","2.12"
"527.56","12.71","-1.84","2.2"
"527.65","8.24","0.35","1.41"
"527.74","8.0","-2.35","1.22"
"527.83","7.77","0.55","-1.06"
"527.92","16.04","2.0","-0.82"
"528.01","15.46","-3.96","4.31"
"528.11","4.94","-0.39","-0.94"
"528.2","9.49","-1.77","1.77"
"528.29","10.28","1.37","1.06"
"528.38","10.4","0.39","2.24"
"528.47","11.26","2.04","1.73"
"528.56","11.57","-1.92","3.02"
"528.65","14.63","-1.26","0.75"
"528.74","7.88","0.59","1.14"
"528.83","6.2","-0.71","-0.2"
"528.92","8.75","0.51","-4.71"
"529.01","10.12","0.0","-7.34"
"529.11","12.47","-3.3","8.67"
"529.2","10.4","0.75","1.14"
"529.29","7.49","0.12","1.14"
"529.38","10.16","1.8","0.82"
"529.47","11.73","0.31","3.88"
"529.56","11.81","1.1","1.06"
"529.65","9.92","-3.02","4.9"
"529.74","13.77","0.59","-0.86"
"529.83","5.84","0.0","1.29"
"529.92","7.02","-0.39","-1.18"
"530.02","10.71","-0.63","1.73"
