"NAME:","Run_4_1"
"EXPERIMENT TIME:","2023/06/06 12:16:33"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","120"

"Time[sec]","ACC X","ACC Y","ACC Z"
"0","-0.94","-10.55","-4.16"
"0.08094531250003456","0.67","-9.69","-3.30"
"0.16194531249993815","-0.78","-11.18","-3.37"
"0.24294531250006912","-4.24","-8.20","-4.94"
"0.3239453124999727","-5.30","-10.71","-4.86"
"0.4049453125001037","-0.12","-9.61","-4.35"
"0.4859453125000073","5.84","-20.01","-9.38"
"0.5669453124999109","4.71","-2.82","-1.84"
"0.6479453125000418","1.45","-0.43","0.20"
"0.7289453124999454","-0.12","6.90","-8.16"
"0.8099453125000764","-9.96","-17.77","-20.01"
"0.89094531249998","-3.96","-13.45","-8.24"
"0.971945312500111","4.98","9.30","-4.94"
"1.0529453125000146","-1.53","-1.45","-2.28"
"1.1339453124999181","-1.26","-15.02","-9.02"
"1.2149453125000491","-1.26","-20.01","-4.35"
"1.2959453124999527","-0.16","-5.26","-0.43"
"1.3769453125000837","4.35","-0.35","0.27"
"1.4579453124999873","0.35","4.98","-7.37"
"1.5389453124998909","-0.86","-20.01","-16.91"
"1.6199453125000218","-2.82","-14.87","-5.53"
"1.7009453124999254","5.02","6.32","-3.49"
"1.7819453125000564","-0.47","-4.55","-2.51"
"1.86294531249996","-2.79","-6.67","-12.32"
"1.943945312500091","-3.73","-20.01","-2.39"
"2.0249453124999945","8.32","-7.41","-0.71"
"2.105945312499898","2.79","0.16","-0.71"
"2.186945312500029","-5.06","6.24","-0.51"
"2.2679453124999327","-2.98","-20.01","-15.02"
"2.3489453125000637","2.75","-14.47","-3.18"
"2.4299453124999673","-0.27","7.10","-0.35"
"2.5109453125000982","-2.79","-5.06","-7.26"
"2.591945312500002","-3.41","-2.90","-20.01"
"2.6729453124999054","-3.84","-20.01","-8.04"
"2.7539453125000364","7.30","-7.61","-2.04"
"2.83494531249994","3.88","1.61","-1.22"
"2.915945312500071","-4.86","4.24","-0.12"
"2.9969453124999745","7.85","-20.01","-14.20"
"3.0779453125001055","5.53","-15.30","-1.57"
"3.158945312500009","2.43","2.24","-1.53"
"3.2399453124999127","-2.08","-5.37","-2.86"
"3.3209453125000437","4.24","2.24","1.61"
"3.4019453124999472","8.71","-20.01","-19.97"
"3.482945312500078","0.59","-10.08","-3.33"
"3.563945312499982","2.24","0.16","1.92"
"3.6449453125001128","-2.47","-0.75","-1.96"
"3.7259453125000164","5.26","-3.18","-20.01"
"3.80694531249992","6.04","-20.01","-3.37"
"3.887945312500051","0.12","-4.35","-0.12"
"3.9689453124999545","-3.06","-5.92","0.71"
"4.0499453125000855","1.45","2.63","0.39"
"4.130945312499989","-1.41","-8.98","-11.18"
"4.211945312499893","-0.59","-20.01","-5.92"
"4.292945312500024","-5.06","2.16","0.20"
"4.373945312499927","0.71","-2.59","-5.49"
"5.102945312499969","0.67","-2.31","-4.31"
"5.1839453125001","0.12","4.16","-2.63"
"5.264945312500004","-3.69","-20.01","-20.01"
"5.345945312499907","-4.08","-9.53","-2.39"
"5.426945312500038","3.45","8.04","-1.73"
"5.507945312499942","-1.73","2.43","-5.88"
"5.588945312500073","-10.63","-20.01","-4.00"
"5.669945312499976","-3.57","-20.01","2.79"
"5.750945312500107","-2.75","-2.08","-0.86"
"5.831945312500011","6.16","2.08","-2.39"
"5.913945312499891","-0.59","2.55","-5.30"
"5.9939453125000455","-5.57","-20.01","-20.01"
"6.074945312499949","-0.94","-12.43","-1.53"
"6.15594531250008","3.06","7.30","-1.77"
"6.236945312499984","-0.98","-2.63","-0.51"
"6.318945312500091","-9.77","-10.75","-17.50"
"6.398945312500018","-2.82","-20.01","5.92"
"6.479945312499922","-0.59","-1.53","-0.82"
"6.563945312499982","4.90","-2.39","-1.14"
"6.643945312499909","3.96","9.57","-11.18"
"6.72494531250004","-2.31","-20.01","-18.32"
"6.805945312499944","-1.33","-11.14","-3.53"
"6.886945312500075","3.41","10.24","-0.20"
"6.9689453124999545","-1.65","3.84","-8.24"
"7.048945312500109","-8.75","-20.01","-3.69"
"7.129945312500013","-2.24","-20.01","-0.78"
"7.210945312499916","-1.45","2.12","-2.98"
"7.291945312500047","5.22","-3.61","-3.45"
"7.373945312499927","-4.16","1.26","0.90"
"7.453945312500082","-5.88","-20.01","-20.01"
"7.5349453124999854","-2.90","-11.06","-2.24"
"7.615945312499889","1.61","6.83","-1.65"
"7.69694531250002","-2.55","-1.06","-5.14"
"7.7789453124999","-8.63","-20.01","-13.06"
"7.858945312500055","-1.26","-20.01","-1.53"
"7.939945312499958","0.08","1.65","-2.86"
"8.02094531250009","5.61","-2.04","-0.24"
"8.101945312499993","-1.96","2.12","-1.61"
"8.182945312499896","0.04","-20.01","-19.38"
"8.263945312500027","0.16","-13.65","-4.55"
"8.34494531249993","3.18","8.00","-0.94"
"8.425945312500062","-4.08","-0.39","-5.37"
"8.506945312499965","-3.45","9.38","-20.01"
"8.587945312500096","2.51","-20.01","-13.10"
"8.6689453125","1.57","-4.20","-1.61"
"8.749945312499904","4.59","2.71","0.00"
"8.830945312500035","-5.45","2.08","-0.16"
"8.911945312499938","4.16","-20.01","-5.14"
"8.99294531250007","7.45","-17.57","-1.80"
"9.073945312499973","3.14","4.35","-2.35"
"9.154945312500104","-2.82","-11.26","-1.14"
"9.235945312500007","2.20","2.35","1.06"
"9.31694531249991","14.36","-20.01","-17.81"
"9.397945312500042","-3.30","-12.00","-3.84"
"9.478945312499945","-6.47","0.82","1.37"
"9.559945312500076","-0.98","-2.75","-3.02"
"9.64094531249998","-1.96","-20.01","-3.49"
"9.721945312500111","11.65","-17.97","-3.06"
"9.802945312500015","0.08","4.63","0.12"
"9.883945312499918","-3.45","-4.47","-4.90"
"9.96494531250005","3.10","4.71","-4.98"
"10.045945312499953","5.53","-20.01","-12.00"
"10.126945312500084","-0.75","-15.93","-4.59"
"10.207945312499987","-0.51","3.65","0.31"
"10.28894531249989","-0.78","-2.79","-2.90"
"10.369945312500022","8.16","2.82","-20.01"
"11.098945312500064","0.00","5.14","-8.32"
"11.179945312499967","0.04","-20.01","-20.01"
"11.260945312500098","-5.30","-11.02","-2.79"
"12.070945312500044","-0.51","2.94","-0.43"
"12.151945312499947","-1.65","1.69","-2.63"
"12.232945312500078","-2.47","-20.01","6.94"
"13.042945312500024","-5.41","-20.01","-7.81"
"13.123945312499927","4.71","-5.02","-2.47"
"13.204945312500058","7.22","4.39","-1.06"
"13.609945312500031","-3.02","-4.98","-4.08"
"13.690945312499935","-3.49","9.61","-20.01"
"13.771945312500065","3.92","-20.01","-10.94"
"13.852945312499969","0.90","-6.83","-3.02"
"13.9339453125001","3.84","2.71","-0.08"
"14.014945312500004","-3.10","1.14","-1.29"
"14.095945312499907","1.18","-19.93","-2.94"
"14.176945312500038","9.45","-16.04","-0.43"
"14.257945312499942","2.59","3.84","-1.61"
"14.338945312500073","-3.49","-8.83","-1.14"
"14.419945312499976","-1.10","5.10","-13.26"
