NAME:,run_5_2.csv,,
EXPIRAMENT TIME:,19/06/2023 13:28,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS::,168,,
,,,
Time [sec],ACC X,ACC Y,ACC Z 
0,1.57,3.3,-10.67
0.1,1.45,3.88,-9.73
0.2,2.51,3.88,-10.4
0.3,2.55,2.16,-10.83
0.4,2.63,1.45,-11.41
0.5,2.04,1.1,-13.53
0.6,0.86,2.31,-13.02
0.7,1.84,2.82,-10.24
0.8,-0.27,3.96,-9.14
0.9,-0.39,4.51,-10.55
1,-0.24,2,-13.14
1.1,0.43,0.59,-10.43
1.2,-0.59,2.12,-9.41
1.3,1.57,3.37,-12.08
1.4,3.06,3.41,-19.14
1.5,0.63,4.35,-9.81
1.6,-0.75,4.47,-10
1.7,3.22,1.57,-12.47
1.8,2.71,-0.55,-12.67
1.9,-0.51,0.94,-7.88
2,1.45,2.82,-11.81
2.1,2.04,2.94,-12.55
2.2,0.08,5.1,-11.22
2.3,-2.39,4.43,-9.89
2.4,3.45,-6.28,-20.01
2.5,3.41,-0.35,-10
2.6,1.14,0.98,-8.75
2.7,-1.14,2.59,-14.28
2.8,-0.24,4.31,-11.18
2.9,-1.69,2.79,-9.26
3,1.14,3.8,-12.04
3.1,0.71,1.69,-13.1
3.2,-0.39,1.45,-9.89
3.3,0.55,-0.35,-8.51
3.4,-0.78,4.2,-14.51
3.5,-0.31,3.33,-9.92
3.6,0.63,2.12,-6.55
3.7,0.24,2.98,-14.98
3.8,-1.37,-0.51,-11.38
3.9,-1.73,3.41,-7.85
4,-2,1.41,-14.63
4.1,-1.37,2.47,-12.08
4.2,-0.86,3.1,-9.81
4.3,-1.29,3.06,-8.98
4.4,1.45,5.14,-15.42
4.5,1.37,1.45,-13.96
4.6,-0.86,-2.31,-13.69
4.7,0.24,1.73,-12.28
4.8,-1.61,6.9,-12.36
4.9,-0.78,5.06,-8.2
5,-0.04,5.84,-8.2
5.1,1.02,4.67,-15.53
5.2,1.1,-1.45,-12.55
5.3,1.06,1.41,-10.2
5.4,-0.94,4.67,-12.04
5.5,-1.57,4.35,-13.65
5.6,-0.63,5.57,-8.98
5.7,1.37,4.28,-7.26
5.8,-1.1,4.2,-15.89
5.9,0.82,-0.16,-11.1
6,-0.31,0.59,-11.06
6.1,-0.12,2.31,-16.24
6.2,0.12,4.75,-11.69
6.3,-0.9,4.82,-8.79
6.4,0.39,3.88,-10.04
6.5,0.35,2.12,-12.51
6.6,1.1,-0.51,-8.94
6.7,1.06,0.04,-7.92
6.8,-1.61,5.02,-14.91
6.9,-0.12,4.94,-10.83
7,-0.94,5.65,-9.18
7.1,1.29,4.12,-13.06
7.2,0.67,1.33,-13.45
7.3,0.71,0.2,-10.83
7.4,-0.08,-0.75,-10
7.5,-1.02,3.1,-17.42
7.6,-0.24,4.59,-12.4
7.7,0.71,3.65,-6.51
7.8,-0.08,4.55,-12.67
7.9,0.98,0.75,-10.32
8,0.9,-0.9,-12.32
8.1,0,0.08,-10.51
8.2,-2.43,1.53,-12.83
8.3,-1.69,3.18,-12.08
8.4,-0.39,2.43,-9.65
8.5,1.06,2.28,-10.32
8.6,-3.22,2.2,-15.42
8.7,0.31,1.53,-11.92
8.8,-1.37,0,-10.24
8.9,-1.06,0.78,-14.4
9,-1.1,2.16,-14.12
9.1,-0.86,4.63,-8.87
9.2,0.75,3.26,-7.14
9.3,0,5.02,-11.61
9.4,3.49,5.92,-19.85
9.5,1.77,-1.49,-12.59
9.6,-1.29,1.22,-9.18
9.7,-1.69,3.41,-14.51
9.8,0.12,4.55,-9.18
9.9,-1.1,5.49,-7.41
10,1.29,6.79,-14.51
10.1,0,1.22,-8.28
10.2,-1.1,-2.59,-9.81
10.3,1.96,-1.84,-8.55
10.4,-2.31,4.71,-14.87
10.5,-1.06,6,-11.41
10.6,-0.35,5.37,-8.87
10.7,-0.75,4.28,-11.73
10.8,0,-0.35,-11.06
10.9,-0.43,-0.82,-10.47
11,0.94,-0.43,-8.98
11.1,-1.92,4.63,-14.59
11.2,-0.51,5.77,-9.22
11.3,-0.35,5.53,-9.06
11.4,0.51,4.39,-15.89
11.5,-0.94,1.26,-11.96
11.6,0.04,-0.55,-10.36
11.7,2.2,-1.33,-10.12
11.8,-0.27,3.61,-13.69
11.9,-0.86,6.12,-10.04
12,-1.29,6.35,-8.71
12.1,0.04,3.53,-12.87
12.2,-1.61,2.39,-10.83
12.3,-0.12,0.12,-9.1
12.4,1.65,-0.67,-8.2
12.5,-1.96,4.16,-15.34
12.6,-0.86,5.69,-8.55
12.7,-0.82,6.63,-8.28
12.8,-1.33,3.3,-13.69
12.9,-0.67,0.39,-12.55
13,-0.55,-0.9,-10.87
13.1,0.43,0.16,-9.1
13.2,-1.92,4.39,-15.85
13.3,0.63,3.02,-7.26
13.4,1.06,2.43,-7.53
13.5,0.24,2.63,-15.49
13.6,-0.63,2.39,-11.85
13.7,-0.39,0.67,-9.26
13.8,0.04,-0.2,-7.57
13.9,-1.84,1.26,-16.08
14,-1.14,1.53,-13.57
14.1,1.57,1.53,-6.32
14.2,1.22,1.02,-11.38
14.3,0.78,1.8,-14.83
14.4,0.12,0.55,-14.83
14.5,-0.2,-1.18,-8.94
14.6,-0.51,0.04,-12.47
14.7,-2.04,2.55,-15.46
14.8,-0.78,3.18,-11.02
14.9,0.51,3.26,-9.06
15,2.39,3.41,-13.06
15.1,0.47,0.55,-13.77
15.2,1.18,-0.86,-10.71
15.3,0.43,0.55,-8.43
15.4,-0.71,3.33,-12.94
15.5,-0.27,5.61,-6.9
15.6,-0.12,3.88,-10.59
15.7,0.2,2.08,-16.79
15.8,2,-1.77,-11.14
15.9,0.71,-0.51,-10.98
16,0.16,0.24,-14.87
16.1,-0.78,3.84,-13.22
16.2,-0.59,4.63,-10
16.3,-0.08,3.37,-8.43
16.4,-2.28,4.04,-14.12
16.5,0.98,-0.67,-12.83
16.6,1.53,-1.57,-12.28
16.7,0.71,0.86,-8.47
16.8,0.67,3.06,-12.98
16.9,1.37,4.31,-7.65
17,-0.16,3.33,-10.59
17.1,-1.26,4.51,-12.83
17.2,-0.35,0,-11.96
17.3,-0.31,-0.94,-10.75
17.4,0.67,-0.08,-10.08
17.5,-0.63,2.82,-14.63
17.6,-1.41,4.55,-9.96
17.7,-0.08,4.55,-7.69
17.8,0.59,1.45,-12.36
17.9,0.39,0.08,-13.22
18,0.75,-0.2,-9.34
18.1,0.35,-0.94,-6.28
18.2,-1.22,1.92,-15.18
18.3,-0.67,3.69,-10.47
18.4,0.71,4.47,-7.81
18.5,0.39,3.65,-11.06
18.6,1.14,1.06,-11.1
18.7,0.31,-0.24,-10.36
18.8,1.14,-1.57,-8.59
18.9,-1.53,1.49,-15.53
19,0.24,1.37,-13.1
19.1,0.24,4.39,-10.04
19.2,0.98,3.26,-9.14
19.3,-1.92,2.94,-18.63
19.4,-0.27,-0.98,-11.06
19.5,-0.82,0.94,-10.87
19.6,-1.69,0.43,-10.59
19.7,-2.71,1.88,-15.1
19.8,-0.98,4.2,-12.24
19.9,0.47,2.59,-7.96
20,1.29,2.94,-11.77
20.1,2.82,0.43,-14.32
20.2,1.37,0.24,-11.61
20.3,-1.77,0.43,-10.47
20.4,-0.94,1.14,-10.83
20.5,-0.75,4.67,-13.69
20.6,-0.82,4.47,-10
20.7,-1.14,3.41,-9.18
20.8,-1.57,2.67,-13.49
20.9,0.31,-0.08,-11.73
21,0.04,-0.27,-11.02
21.1,-1.14,1.53,-18.04
21.2,-0.08,3.33,-12.71
21.3,-0.71,4.79,-9.22
21.4,-1.02,4.04,-9.3
21.5,0.24,0.31,-17.02
21.6,-0.9,1.53,-10.2
21.7,0.82,0.39,-7.81
21.8,0.75,1.65,-9.73
21.9,-0.31,3.22,-14.2
22,-0.24,3.92,-11.77
22.1,-1.22,5.65,-8.83
22.2,0.16,2.86,-7.81
22.3,-1.57,3.57,-15.77
22.4,0.55,-0.2,-8.75
22.5,-0.16,0.51,-10.67
22.6,-2.63,2.79,-16.99
22.7,-1.33,2.55,-13.1
22.8,-1.02,3.37,-10.59
22.9,-2.16,1.92,-6.79
23,-5.26,3.84,-17.46
23.1,-0.2,2.79,-16.51
23.2,0.9,-0.16,-10.9
23.3,0.2,-0.55,-5.84
23.4,-0.35,2.63,-13.1
23.5,1.14,3.61,-12.08
23.6,-0.04,3.84,-11.85
23.7,0.55,2.47,-10.67
23.8,-2.31,2.94,-16.28
23.9,-1.02,0.31,-9.3
24,-0.82,0.78,-11.45
24.1,0.82,1.49,-14.24
24.2,-1.37,3.14,-14.98
24.3,-2.12,5.81,-10.28
24.4,-2.12,5.84,-10.83
24.5,-1.57,2.39,-14.83
24.6,-0.27,-0.78,-11.49
24.7,-0.35,0.82,-11.61
24.8,0.94,2.9,-15.42
24.9,0.47,4.31,-11.45
25,-0.47,5.73,-8.28
25.1,0.71,4.94,-9.96
25.2,0.39,4.16,-17.06
25.3,-0.86,-1.33,-11.77
25.4,-0.98,-1.33,-10.08
25.5,0.59,0.24,-10.43
25.6,1.14,3.02,-12.79
25.7,-0.12,5.69,-9.3
25.8,-0.31,5.69,-11.73
25.9,-0.9,3.33,-11.81
