NAME:,walk arbel.csv,,
EXPERIMENT TIME:,18/06/2023 9:36,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,104,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,0.78,-0.16,-8.63
0.11000061,2.28,-0.51,-9.1
0.20999908,2,-0.78,-11.65
0.30999756,1.14,-0.55,-13.34
0.40999603,0.16,-0.94,-8.79
0.51000214,0.75,-0.47,-10.43
0.6199951,1.29,-1.1,-8.43
0.7200012,-1.49,-0.9,-9.73
0.8199997,1.57,-1.1,-10.47
0.91999817,-0.55,-0.78,-12.04
1.0199966,-0.86,-2.31,-13.45
1.1299973,0.39,0.24,-9.3
1.2299957,0.2,-0.82,-8.98
1.3300018,1.96,-0.27,-9.1
1.4300003,2.16,0.2,-10.12
1.5299988,1.1,0.35,-12.08
1.6399994,-2.04,-0.24,-12.79
1.7399979,0.61,-1.1,-9.02
1.8399963,0.49,0.2,-9.14
1.9400024,1.88,-0.31,-9.1
2.040001,0.08,0.39,-9.22
2.1500015,1.61,-0.78,-12.08
2.25,2.31,-1.26,-13.77
2.3499985,0,0.24,-10.51
2.449997,0.35,-1.06,-9.92
2.5499954,0.71,0.12,-9.38
2.659996,0.12,-0.04,-8.98
2.7600021,0.94,-0.04,-10.2
2.8600006,0.75,-0.86,-12.59
2.959999,0.04,1.57,-11.73
3.0599976,0.02,-0.75,-9.49
3.1699982,-1.29,0.12,-8.71
3.2699966,0.9,-0.98,-8.63
3.369995,1.61,-1.06,-10.2
3.4700012,0.82,-1.06,-12
3.5699997,-1.02,0.2,-13.42
3.6800003,2.55,0.82,-7.61
3.7799988,0.04,-0.9,-10.2
3.8799973,0.04,0.35,-8.83
3.9799957,1.06,-0.47,-9.02
4.080002,1.57,-1.1,-12.08
4.1900024,-2.63,-1.77,-12.83
4.290001,0.71,0.78,-9.73
4.3899994,0.16,0.51,-10.63
4.489998,0.43,-0.47,-8.43
4.5899963,-0.75,-0.78,-8.79
4.699997,1.92,-0.63,-10.12
4.7999954,-2.98,-2.47,-13.65
