"NAME:","9_walk_1_2.csv"
"EXPERIMENT TIME:","18/06/2023 17:44"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","120"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","0.43","-9.85","-2.55"
"0.100982666","0.16","-10.32","-2.55"
"0.20199585","-1.53","-11.45","-1.65"
"0.30297852","2.47","-9.92","-2.94"
"0.4039917","4.59","-9.34","-8.39"
"0.5050049","-1.65","-8.24","-2.98"
"0.60598755","0.04","-5.81","-4.86"
"0.70700073","0.08","-7.14","-6.08"
"0.8079834","-3.18","-11.34","-7.57"
"0.9089966","4.08","-13.02","-1.65"
"1.0099792","0.98","-5.3","-3.84"
"1.1109924","-0.31","-7.1","-3.33"
"1.2120056","-1.14","-9.49","-2.82"
"1.3129883","-0.47","-10.16","-3.18"
"1.4140015","0.59","-13.77","-3.73"
"1.5149841","3.06","-10.83","-4.75"
"1.6159973","-1.73","-9.1","-3.37"
"1.71698","-2.0","-4.08","-4.71"
"1.8179932","-0.35","-7.57","-5.1"
"1.9190063","-6.35","-14.16","-10.36"
"2.019989","2.71","-10.94","-3.53"
"2.1210022","1.45","-6.67","-2.04"
"2.2219849","-1.26","-8.32","-2.75"
"2.322998","-2.2","-9.41","-2.82"
"2.4239807","-0.43","-13.45","-4.67"
"2.524994","3.84","-10.12","-5.1"
"2.626007","-0.08","-8.28","-4.16"
"2.7269897","-1.69","-3.77","-2.86"
"2.828003","0.27","-7.26","-5.57"
"2.9289856","-6.0","-13.06","-10.08"
"3.0299988","1.92","-12.04","-2.51"
"3.1309814","1.26","-5.18","-2.71"
"3.2319946","-1.53","-6.59","-2.71"
"3.3330078","-2.12","-10.71","-1.96"
"3.4339905","-0.16","-13.89","-3.26"
"3.5350037","3.06","-10.32","-5.57"
"3.6359863","-1.53","-7.85","-2.9"
"3.7369995","-1.77","-3.65","-3.57"
"3.8379822","1.73","-6.9","-5.61"
"3.9389954","-5.65","-13.96","-11.14"
"4.0400085","1.65","-10.79","-3.88"
"4.140991","1.92","-6.75","-2.43"
"4.2420044","-0.98","-8.32","-2.12"
"4.342987","-1.1","-10.28","-0.86"
"4.4440002","2.0","-12.71","-2.67"
"4.544983","4.28","-14.71","-3.18"
"4.645996","-1.65","-6.35","-1.73"
"4.7469788","-1.96","-3.61","-4.79"
"4.847992","1.41","-11.69","-4.39"
"4.949005","0.39","-8.63","-6.04"
"5.049988","2.43","-9.61","-1.77"
