NAME:,running5,,
EXPERIMENT TIME:,05/06/2023 19:31,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,140,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.001,0.08,0.47,9.06
0.002,-0.04,0.47,8.83
0.003,-0.08,0.59,8.67
0.004,0.04,0.51,8.32
0.005,0.04,0.86,8.9
0.006,0.08,0.78,8.75
0.007,-0.27,0.43,9.18
0.008,-0.24,0.63,9.45
0.009,-0.39,1.29,9.77
0.01,-0.86,1.22,10.28
0.011,-0.47,0.55,8.63
0.012,-0.82,-0.31,8.83
0.013,-0.27,0.59,8.51
0.014,-0.39,0.43,8.59
0.015,-0.35,0.27,8
0.016,-0.63,-0.24,7.81
0.017,-0.67,-0.2,8.04
0.018,-0.98,-0.47,8.83
0.019,-0.59,-0.31,9.14
0.02,-0.9,-0.86,8.94
0.021,-0.86,-1.18,8.36
0.022,-0.43,-1.14,7.69
0.023,-0.08,-2.2,8.67
0.024,0.47,0.47,12.04
0.025,0.55,0.59,12.91
0.026,0.16,1.61,12.87
0.027,0.39,0.35,10.75
0.028,1.02,0.16,9.77
0.029,0.35,0.71,9.73
0.03,0.71,-0.04,6.94
0.031,0.59,-0.59,6.86
0.032,1.14,-0.55,8.16
0.033,1.69,-0.35,6.39
0.034,0.63,-2.47,5.3
0.035,0.39,-1.41,5.26
0.036,0.27,-1.61,4.94
0.037,-0.04,-1.37,6.9
0.038,-0.63,-0.31,9.45
0.039,-1.37,1.33,12.47
0.04,-0.67,0.98,13.1
0.041,0,1.57,12.79
0.042,-1.96,-1.33,14.59
0.043,-1.22,0.31,13.93
0.044,-0.55,-1.37,11.85
0.045,-0.71,-0.9,9.53
0.046,-0.04,-2.59,4
0.047,0.59,-2.47,2.35
0.048,0.55,-1.14,2.63
0.049,1.53,-2.75,2.67
0.05,1.84,-3.33,4.04
0.051,2.55,-6.63,8.59
0.052,2.08,-5.81,20.01
0.053,-1.45,3.02,20.01
0.054,-2.86,-0.2,15.77
0.055,-1.61,1.88,9.3
0.056,-0.94,2.31,4.59
0.057,-0.39,2.28,0.67
0.058,-2,2.28,1.61
0.059,-1.49,3.57,1.37
0.06,-1.1,4.71,-0.51
0.061,-4,0.04,3.61
0.062,-3.33,-1.77,15.97
0.063,-1.29,1.37,19.18
0.064,-2.55,-4.16,19.53
