NAME:,walking4,,
EXPERIMENT TIME:,05/06/2023 19:19,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,150,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.001,0.12,-2.39,8.94
0.002,0.27,-2.71,8.28
0.003,0.35,-3.22,7.65
0.004,0.63,-3.53,7.77
0.005,0.31,-3.41,7.61
0.006,0.24,-3.26,7.85
0.007,0.2,-3.22,8.24
0.008,0.39,-2.9,9.22
0.009,1.92,-2.71,10.87
0.01,0.78,-2.12,9.81
0.011,0.12,-3.45,8.83
0.012,2.16,-4.75,10.63
0.013,0.2,-1.92,11.38
0.014,0.08,-1.1,11.02
0.015,1.37,-0.82,11.18
0.016,1.88,-0.75,9.61
0.017,1.37,-1.49,8
0.018,0.47,-1.96,6.39
0.019,0.51,-1.69,6
0.02,0.55,-1.88,5.69
0.021,0.35,-2.35,5.1
0.022,0.71,-2.35,6.08
0.023,0.67,-2.2,7.45
0.024,0.31,-2.55,8
0.025,0.08,-3.53,8.32
0.026,0.67,-3.33,8.94
0.027,0.63,-3.77,9.89
0.028,0.16,-4.43,10.47
0.029,-0.78,-5.73,12.32
0.03,0.47,-2.9,16.36
0.031,0.67,0.27,12.79
0.032,0.47,-2.39,7.41
0.033,-0.12,-1.96,6.83
0.034,0.24,-1.57,7.69
0.035,0.12,-1.61,6.67
0.036,-0.51,-1.88,5.06
0.037,-0.51,-2.59,4.86
0.038,-0.08,-2.12,5.88
0.039,-0.2,-2.28,6.67
0.04,-0.59,-2.94,7.34
0.041,1.22,-2.51,10.28
0.042,2.24,-2.86,11.38
0.043,1.22,-4.79,9.69
0.044,1.96,-6.32,13.61
0.045,1.1,-0.08,14.32
0.046,1.02,-1.53,11.06
0.047,2.04,-4.43,7.88
0.048,0.98,-2.63,6.59
0.049,0.31,-2.2,5.65
0.05,0.08,-2.39,4.86
0.051,0.24,-2.39,4.28
0.052,-0.16,-3.18,4.71
0.053,0.16,-2.63,6.12
0.054,0.43,-2.94,7.77
0.055,0.31,-2.9,9.18
0.056,0.12,-2.79,10.4
0.057,0.94,-3.88,11.65
0.058,-0.39,-7.02,13.3
0.059,2.55,-2.86,17.57
0.06,0.39,-0.39,11.89
0.061,-0.47,-2.39,9.45
0.062,0.55,-1.41,9.38
0.063,0.47,-0.9,7.3
0.064,0.47,-1.57,4.59
0.065,0.12,-1.8,3.8
0.066,0.08,-1.57,4.43
0.067,0,-2,4.94
0.068,-0.24,-1.92,5.92
0.069,-0.59,-1.61,6.98
0.07,1.26,-3.22,9.18
0.071,1.96,-3.37,11.3
0.072,2.12,-2.43,10.79
0.073,2.67,-5.92,12.98
0.074,1.96,1.1,13.3
0.075,3.02,-1.73,10.4
0.076,2.94,-4,8.04
0.077,-0.24,-1.65,7.02
0.078,0.55,-1.65,6.2
0.079,0.63,-2.55,4.9
0.08,1.06,-2.79,4.31
0.081,0.71,-2.86,4.79
0.082,0.71,-3.33,5.96
0.083,0.08,-3.41,7.41
0.084,0.16,-3.22,10.2
0.085,0,-3.57,11.3
0.086,0.82,-3.8,11.69
0.087,-0.24,-5.81,11.81
0.088,1.02,-4.98,16.48
0.089,2.24,0.43,13.77
0.09,-0.16,-1.96,9.38
0.091,0.55,-2.67,8.87
0.092,0.86,-0.51,8.28
0.093,1.22,-0.67,5.81
0.094,0.98,-1.77,4.2
0.095,0.12,-1.45,3.77
0.096,-0.12,-1.41,3.96
0.097,0.16,-2.63,5.3
0.098,0.35,-2.16,7.37
0.099,1.45,-2,8.79
0.1,2.12,-3.61,9.77
0.101,2.28,-4.24,10.4
0.102,2.28,-4.04,15.1
0.103,3.26,0.75,13.96
0.104,4.12,-3.77,11.14
0.105,3.84,-4.39,9.69
0.106,2.28,-1.61,7.77
0.107,0.94,-1.96,5.14
0.108,0.63,-2.31,4.08
0.109,0.59,-2.59,3.41
0.11,-0.04,-3.06,3.33
0.111,0.47,-3.77,4.79
0.112,1.33,-5.1,7.14
0.113,0.75,-3.53,9.14
0.114,0.98,-3.22,10.47
0.115,1.92,-5.73,11.96
0.116,1.96,-6.71,14.44
0.117,3.69,-2.9,15.81
0.118,1.8,-1.18,9.69
0.119,0.31,-3.1,7.65
0.12,1.53,-1.88,8.43
0.121,1.57,-1.22,7.77
0.122,0.9,-1.22,5.49
0.123,0.71,-1.73,4.24
0.124,0.43,-1.73,4.39
0.125,0.63,-1.92,4.79
0.126,0.98,-2.51,5.1
0.127,1.18,-3.37,6.55
0.001,0.94,-3.02,8.47
0.002,2.16,-2.71,11.22
0.003,2.86,-5.1,13.53
0.004,3.49,-2.9,14.71
0.005,1.53,-0.55,11.85
0.006,3.73,-3.57,9.49
0.007,3.1,-3.8,8.39
0.008,2.39,-2,7.73
0.009,1.8,-1.61,6.39
0.01,0.98,-2.51,4.51
0.011,0.47,-2.55,4
0.012,1.26,-2.75,4.86
0.013,0.67,-3.22,5.88
0.014,0.78,-2.98,7.3
0.015,1.65,-3.14,9.57
0.016,2.04,-3.77,10.47
0.017,1.84,-4.98,10.75
0.018,1.92,-6.9,13.06
0.019,4.43,-1.65,16
0.02,0.43,-0.86,9.26
0.021,0.55,-3.45,7.96
0.022,1.41,-1.53,8.79
0.023,1.29,-0.55,7.92
0.024,1.02,-0.47,4.82
0.025,0.08,-1.53,3.26
0.026,0.31,-1.53,4.12
0.027,1.26,-2.35,5.88
0.028,0.98,-2.82,7.41
0.029,1.02,-3.06,8.16
0.03,2.98,-4.75,10.04
0.031,3.14,-4.28,10.51
0.032,1.73,-4.79,11.1
0.033,3.41,-5.1,14.32
0.034,2.55,-0.2,12.94
0.035,2.28,-1.69,8.04
0.036,3.02,-3.1,6.43
0.037,2.08,-3.45,6.63
0.038,1.33,-1.37,7.14
0.039,1.14,-0.9,6.98
0.04,0.78,-2.16,5.77
0.041,0.71,-1.96,5.3
0.042,1.18,-2.55,5.14
0.043,1.29,-4.08,5.3
0.044,1.02,-4.55,6.86
0.045,1.26,-4,8.67
0.046,1.77,-4.98,10.98
0.047,1.37,-5.88,11.81
0.048,2.16,-4.43,14.55
0.049,3.65,-0.35,14.75
0.05,1.41,-1.37,9.45
0.051,-0.12,-3.37,8.39
0.052,2.63,-2,10.83
0.053,1.69,-0.67,8.63
0.054,0.47,-1.49,4.59
0.055,1.33,-2.47,4.12
0.056,0.55,-1.84,3.92
0.057,0.24,-2.82,4.2
0.058,0.94,-3.14,6.24
0.059,0.51,-2.98,7.53
0.06,1.88,-3.26,9.92
0.061,2.82,-3.53,11.3
0.062,2.39,-5.77,12.51
0.063,4.59,-3.84,14.47
0.064,2.59,-0.55,10.71
0.065,3.3,-4,7.96
0.066,3.14,-3.96,8
0.067,1.18,-2.24,7.3
0.068,0.63,-1.57,6.2
0.069,0.2,-2.55,4.51
0.07,0.08,-2.98,4.2
0.071,0.98,-3.61,5.26
0.072,0.82,-3.92,6.79
0.073,0.86,-3.77,8.36
0.074,1.02,-3.49,8.94
0.075,1.22,-4.43,9.45
0.076,1.84,-4.51,10.59
0.077,1.1,-7.57,12.91
0.078,4.31,-2.2,16.83
0.079,1.1,-0.63,10.75
0.08,2,-3.33,8.16
0.081,2.24,-2.35,8
0.082,1.1,-0.63,6.98
0.083,2,-1.73,5.53
0.084,1.49,-2,4.94
0.085,0.51,-1.65,4.9
0.086,1.84,-2.51,6.2
0.087,1.49,-2.43,6.16
0.088,0.47,-2.43,6.51
0.089,1.69,-2.39,7.73
0.09,2.12,-3.33,8.9
0.091,2.86,-5.14,12.91
0.092,2.55,-1.1,13.81
0.093,3.3,-3.49,11.45
0.094,4.98,-4.51,11.22
0.095,2.71,-1.8,9.22
0.096,1.49,-2,5.92
0.097,1.26,-2.12,3.92
0.098,-0.16,-2.31,2.94
0.099,0.2,-3.1,3.61
0.1,0.2,-4,4.82
0.101,0.16,-4.71,6.63
0.102,0.94,-4.28,9.65
0.103,1.26,-3.65,12
0.104,0.24,-6,12.16
0.105,2.31,-4.08,16.91
0.106,2.59,-0.2,14.91
0.107,1.77,-2.04,10.63
0.108,0.35,-2.31,8.51
0.109,1.45,-1.57,8.75
0.11,2.55,-1.33,8.32
0.111,0.51,-1.26,5.37
0.112,1.22,-0.86,4.24
0.113,1.33,-1.37,4.08
0.114,0.63,-1.45,3.73
0.115,0.39,-1.65,4.08
0.116,0.71,-1.92,5.84
0.117,0.82,-1.88,7.57
0.118,1.73,-2.9,9.81
0.119,2.31,-4.55,12.91
0.12,3.8,-2.55,16.32
0.121,1.49,-0.12,13.69
0.122,4.43,-3.14,12
0.123,3.1,-4.08,9.65
0.124,2.16,-1.88,7.57
0.125,1.1,-2.24,5.81
0.126,0.31,-2.35,3.84
0.127,-0.24,-2.24,2.98
0.128,0.59,-2.16,4.04
0.129,0.59,-2,5.1
0.13,0.12,-2.08,6.24
0.131,1.14,-2.82,8.59
0.132,1.49,-3.18,10.75
0.133,1.53,-3.69,11.92
0.134,1.1,-6.51,15.1
0.135,3.69,-1.02,17.34
0.136,2.43,-0.94,13.61
0.137,2.35,-3.41,10.28
0.138,2.59,-1.22,9.73
0.139,1.41,-0.43,7.22
0.14,1.69,-0.94,5.18
0.141,0.98,-1.57,3.53
0.142,0.24,-1.37,3.18
0.143,0.82,-2.31,3.65
