NAME:,walking_dor2,,
EXPERIMENT TIME:,05/06/2023 19:35,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,125,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.001,-4.04,4,6.79
0.002,-4.24,4.04,6.86
0.003,-4.2,4.12,6.9
0.004,-4.55,3.92,7.26
0.005,-4.47,4.28,7.26
0.006,-4.35,4.43,7.14
0.007,-4.08,4.24,7.02
0.008,-3.8,4.43,6.55
0.009,-3.96,4.39,7.45
0.01,-3.8,4.35,7.3
0.011,-3.33,4.59,6.51
0.012,-3.18,4.86,6.86
0.013,-3.41,4.79,7.53
0.014,-3.3,4.82,7.34
0.015,-3.41,4.94,7.1
0.016,-3.41,4.94,7.3
0.017,-3.3,5.1,6.47
0.018,-3.41,5.22,5.92
0.019,-3.73,5.06,6.08
0.02,-4.04,5.22,6.2
0.021,-4.35,5.18,6.79
0.022,-4.08,5.18,6.9
0.023,-4.08,5.02,6.79
0.024,-3.77,5.02,6.43
0.025,-3.57,5.1,5.84
0.026,-3.73,5.33,5.61
0.027,-4.16,5.57,5.77
0.028,-4.86,5.53,7.41
0.029,-5.61,6.59,8.9
0.03,-6.63,6.32,10.79
0.031,-6.71,6.71,11.14
0.032,-6.43,5.77,16.55
0.033,-4.43,3.57,14.16
0.034,-1.69,3.69,7.69
0.035,-1.92,2.43,6.98
0.036,-2.39,1.57,6.67
0.037,-2.35,1.06,5.61
0.038,-1.77,0.63,4.04
0.039,-1.65,1.41,2.04
0.04,-1.84,1.37,2.2
0.041,-1.37,2.2,1.92
0.042,-1.69,2.86,3.37
0.043,-2.51,3.49,5.88
0.044,-2.63,4.2,8.32
0.045,-4.43,5.49,13.3
0.046,-4.47,4.75,13.81
0.047,-6.43,3.69,16.59
0.048,-7.06,2.86,13.65
0.049,-3.65,4.79,8.2
0.05,-2.35,4.59,7.88
0.051,-2.51,3.37,5.02
0.052,-2.35,3.57,3.14
0.053,-3.1,3.1,3.65
0.054,-3.18,3.57,3.92
0.055,-3.3,4.82,5.02
0.056,-4.55,5.41,7.92
0.057,-6.24,5.33,11.38
0.058,-6.9,6.35,12.55
0.059,-7.14,6.43,13.18
0.06,-6.43,6.04,12.43
0.061,-4.94,4.82,11.57
0.062,-3.53,4.28,8.39
0.063,-2.31,4.04,7.65
0.064,-1.92,2.67,7.65
0.065,-2.08,0.98,3.57
0.066,-1.41,1.49,1.69
0.067,-1.49,1.49,2.47
0.068,-1.49,1.8,2.86
0.069,-1.77,2.82,3.37
0.07,-2.28,2.79,4.67
0.071,-1.84,3.96,7.57
0.072,-2.39,3.61,9.53
0.073,0.86,6,7.26
0.074,-5.18,4.16,17.5
0.075,-5.96,1.22,15.49
0.076,-0.47,7.37,7.77
0.077,-2.2,4.31,8.47
0.078,-2.28,4.75,4.43
