NAME:,walk_2_1,,
EXPERIMENT TIME:,Thu Jun 08 14:03:40 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,117,,
,,,
Time [sec], ACC X,ACC Y,ACC Z
0,8.9,-2.28,2.71
0.101,8.24,-1.65,3.02
0.202,9.22,-3.65,3.61
0.303,10.43,-2.51,4.04
0.404,14.04,-0.98,-2.12
0.505,7.26,-2.47,-0.51
0.606,10.04,-2.59,-0.75
0.707,6.9,-3.45,0.31
0.808,13.65,-4.04,0.39
0.909,10.59,-3.02,-1.88
1.01,12.2,-3.88,-0.12
1.111,4.16,-1.45,1.26
1.212,6.2,-1.29,1.57
1.313,11.18,-6.98,5.65
1.414,8.36,2.12,0.51
1.515,13.3,-2.47,-2.28
1.616,4.28,-4.12,-1.49
1.717,10.43,-2.75,-1.84
1.818,11.18,-4.67,0.9
1.919,11.45,-2.86,-4.59
2.02,11.69,-1.77,-0.94
2.121,3.3,-0.16,0.75
2.222,7.18,-0.94,1.77
2.323,10.9,-7.22,6.35
2.424,5.57,1.73,-0.27
2.525,10,0.35,-2.04
2.626,6.51,-3.41,-1.69
2.727,9.3,-1.92,-0.51
2.828,10.87,-4.71,1.41
2.929,14.79,0.63,-5.53
3.03,13.3,-3.33,-1.29
3.131,4.39,-0.24,0.16
3.232,4.79,-0.16,2
3.333,12.24,-5.81,3.1
3.434,20.01,-0.16,-2.47
3.535,11.1,-5.37,-1.06
3.636,3.37,-1.37,-0.67
3.737,8.12,-4.9,0.04
3.838,9.85,-3.41,0.75
3.939,15.3,-4.2,-4.94
4.04,14.71,-0.78,-1.14
4.141,4.82,-0.27,0.16
4.242,5.06,-1.02,1.49
4.343,14.95,-5.77,1.84
4.444,20.01,-0.35,0.75
4.545,12.04,-4.86,-1.69
4.646,4.9,-0.75,-0.78
4.747,8.39,-5.57,0.31
4.848,10.36,-2.08,-0.39
1.37E+04,17.42,-4.39,-5.88
5.252,5.88,-0.78,1.29
5.353,14.98,-3.92,-0.27
5.454,20.01,-1.37,-2.24
5.555,7.37,-5.22,-0.75
5.656,6.12,0.82,-1.26
5.757,7.69,-5.81,-0.27
5.858,10.63,-2.24,0.12
5.959,16.87,-4.75,-5.33
6.06,12.24,-1.61,-0.2
6.161,6.28,-0.51,-0.47
6.262,5.57,-1.29,1.33
6.363,13.18,-3.84,0.08
6.464,19.89,-1.1,-1.29
6.565,4.31,-1.45,0.55
6.666,7.26,1.45,-0.71
6.767,8.98,-3.61,-1.53
6.868,10,-1.26,-0.55
6.969,12.24,-4.43,-0.94
7.07,12.24,1.14,-1.45
7.171,10.04,-5.26,-0.82
7.272,4.2,-1.22,1.14
7.373,7.81,-1.57,1.45
7.474,12.83,-6.63,6.28
7.575,7.61,3.65,-1.22
7.676,11.53,-0.78,-1.45
7.777,6.83,-4.86,-0.27
7.878,9.85,-6.63,0.86
7.979,11.57,-3.02,0.31
8.08,13.26,-2.82,-4
8.181,13.89,-2.08,-1.33
8.282,5.92,-1.8,-0.39
8.383,5.14,-2.47,2
8.484,15.34,-3.88,-0.39
8.585,20.01,-2.94,0
8.686,8.55,-1.73,-1.88
8.787,5.65,-0.12,-1.53
8.888,7.49,-5.53,-0.08
8.989,10.12,-2.67,-0.16
9.09,15.93,-2.39,-2.67
9.191,11.22,0.71,-0.55
9.292,8.47,-2.98,-0.43
9.393,3.22,-2.67,1.53
9.494,11.69,-2.75,0.27
9.595,17.06,-3.49,2.2
9.696,7.61,-1.88,-1.29
9.797,7.3,0.55,-0.51
9.898,8.08,-2.94,-1.8
9.999,9.49,-2.51,0.35
10.1,15.14,-2.59,-0.9
10.201,10.12,-1.92,-1.37
10.302,10.43,-4.43,-0.55
10.403,3.02,-0.71,0.9
10.504,10.04,-1.84,0.63
10.605,10.63,-5.33,1.88
10.706,5.49,2.28,-1.61
10.807,10.9,1.26,-0.31
10.908,7.61,-3.49,-2.12
11.009,8.71,-4.2,-0.55
11.11,12.32,-3.33,0.63
11.211,9.57,-1.92,-3.22
11.312,14.04,-5.22,-0.47
11.413,4.28,1.06,0.43
11.514,6.47,-2.04,1.18
11.615,13.06,-4.24,3.18
11.716,18.95,-1.61,-0.2
11.817,12.12,-3.22,-1.22
11.918,4.31,-2,-0.63
