NAME:,walk_5_2.csv,,
EXPERIMENT TIME:,01/06/2023 09:10,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,103,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,9.49,-1.29,-0.63
0.1,9.3,-2,-1.18
0.2,9.77,-2.16,-1.26
0.3,9.22,-2.31,-1.14
0.4,9.3,-2.24,-0.75
0.5,10.79,-2.31,-0.98
0.6,10.9,-0.75,-1.88
0.7,9.14,1.37,-1.06
0.8,10.16,-2.12,1.33
0.9,8.63,0,1.65
1,7.57,-2.12,1.84
1.1,6.83,-2.12,3.06
1.2,9.77,-3.69,3.53
1.3,6.2,-3.06,4.67
1.4,6.2,-3.06,4.67
1.5,10.98,-4.31,-0.98
1.6,8.51,-0.35,-0.51
1.7,9.06,-2.86,-0.16
1.8,9.53,-2.51,-0.31
1.9,10.28,-2.24,-0.63
2,10.28,-2.24,-0.63
2.1,10.28,-2.24,-0.63
2.2,10.28,-2.24,-0.63
2.3,10.28,-2.24,-0.63
2.4,10.28,-2.24,-0.63
2.5,11.45,-3.61,-1.26
2.6,11.45,-3.61,-1.26
2.7,11.45,-3.61,-1.26
2.8,11.45,-3.61,-1.26
2.9,11.45,-3.61,-1.26
3,8.51,-2.59,-0.63
3.1,8.9,-3.18,0.31
3.2,8.9,-3.18,0.31
3.3,10.59,-3.49,0.16
3.4,12.08,-0.75,0.16
3.5,6.9,-0.98,0.2
3.6,5.96,-1.49,2.31
3.7,6.39,-2.39,3.65
3.8,9.57,-2.28,4.24
3.9,15.46,-3.02,0.71
4,5.14,2.16,-1.1
4.1,5.14,2.16,-1.1
4.2,8.98,-2.04,-0.24
4.3,8.83,-2.55,0.31
4.4,9.49,-1.22,0
4.5,11.89,-3.88,-1.45
4.6,10,-0.31,-0.75
4.7,10.94,-2.55,1.33
4.8,5.88,-0.78,0.82
4.9,5.18,-0.2,0.63
5,11.49,-3.65,5.26
5.1,11.49,-3.65,5.26
5.2,7.37,-3.18,6.79
5.3,10.63,-4.71,-0.75
5.4,7.85,-1.65,-0.39
5.5,8.63,-2.35,0.12
5.6,8.63,-2.35,0.12
5.7,9.57,-3.88,0.51
5.8,9.57,-3.88,0.51
5.9,12.32,-0.78,0.82
6,12.32,-0.78,0.82
6.1,5.26,-0.35,0.71
6.2,5.26,-0.35,0.71
6.3,8.39,-3.26,5.81
6.4,8.39,-3.26,5.81
