"NAME:","run_4_1.csv"
"EXPERIMENT TIME:","05/06/2023 12:15 "
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","165"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-0.78","-9.96","-3.02"
"0.070007324","-1.06","-10.43","-1.37"
"0.13999939","-0.75","-8.87","-0.43"
"0.21000671","-0.43","-9.92","-1.61"
"0.27999878","8.12","-10.40","-10.83"
"0.3500061","5.73","-10.04","-0.27"
"0.42001343","-6.28","-14.40","-4.51"
"0.5","1.69","-20.01","-10.47"
"0.5700073","0.98","-20.01","1.29"
"0.6399994","-7.65","-4.51","-4.47"
"0.7100067","2.39","-8.36","-3.92"
"0.7799988","-1.33","2.59","-0.78"
"0.8500061","6.08","14.40","-12.98"
"0.9200134","-6.86","-20.01","2.08"
"0.9900055","-0.98","-12.71","7.02"
"1.0600128","11.38","-20.01","-14.83"
"1.1399994","20.01","-0.51","-2.51"
"1.2100067","1.37","-18.95","0.00"
"1.2799988","-4.24","-20.01","-17.50"
"1.3500061","-4.71","-14.79","4.55"
"1.4200134","-7.96","0.75","-0.98"
"1.4900055","-4.75","1.37","-1.33"
"1.5600128","20.01","20.01","-20.01"
"1.6300049","-15.02","5.81","1.57"
"1.7000122","-0.67","-19.61","-4.20"
"1.7700043","19.10","6.86","-20.01"
"1.8400116","19.38","0.75","-1.65"
"1.9200134","-4.47","-2.94","2.39"
"1.9900055","8.59","-20.01","-9.34"
"2.0600128","-4.90","-17.73","6.24"
"2.130005","-6.71","-2.28","-8.00"
"2.2000122","-5.65","0.90","-1.77"
"2.2700043","7.61","9.22","-5.06"
"2.3400116","-11.45","-10.16","-5.18"
"2.4100037","-7.77","-20.01","-12.94"
"2.480011","4.08","-12.20","11.92"
"2.5600128","11.69","-13.14","-2.55"
"2.630005","-3.73","-1.77","1.45"
"2.7000122","4.20","-20.01","-20.01"
"2.7700043","-1.61","-12.51","-5.10"
"2.8400116","-9.53","-2.71","-18.79"
"2.9100037","-8.63","0.24","-3.61"
"2.980011","-0.27","11.14","5.65"
"3.050003","-1.26","0.08","5.37"
"3.1200104","12.87","-20.01","-20.01"
"3.1900024","-2.79","-4.90","19.30"
"3.2600098","10.36","-2.75","4.47"
"3.3400116","-7.96","-10.08","0.86"
"3.4100037","9.81","-20.01","-19.38"
"3.480011","-3.02","-14.44","4.24"
"3.550003","-3.45","-4.51","-3.14"
"3.6200104","-6.63","1.53","-1.88"
"3.6900024","-0.78","11.18","1.88"
"3.7600098","-10.36","-18.55","-18.79"
"3.8300018","-3.53","-20.01","-1.92"
"3.9000092","20.01","-18.24","-1.84"
"3.980011","-0.12","-7.69","4.00"
"4.050003","-7.49","-11.41","9.14"
"4.1200104","-5.81","-20.01","-13.85"
"4.1900024","-17.73","-17.97","-3.53"
"4.26001","-7.96","-3.84","-8.51"
"4.330002","-7.26","-15.69","-20.01"
"4.400009","-2.79","5.22","0.24"
"4.470001","-16.04","-20.01","20.01"
"4.5400085","-6.83","-15.97","3.02"
"4.6100006","16.95","-13.18","-19.93"
"4.6900024","5.73","-5.88","-3.80"
"4.76001","-3.65","-5.57","2.82"
"5.0400085","-4.47","0.75","-3.37"
"5.1100006","-20.01","16.67","10.83"
"5.180008","4.43","-1.92","11.77"
"6.0400085","18.40","-7.53","15.69"
"6.1100006","-5.30","-4.28","6.39"
"6.180008","10.00","-20.01","-8.63"
"8.100006","11.26","6.08","-10.75"
"8.170013","4.24","0.47","-0.47"
"8.2400055","-4.79","-17.89","12.87"
"8.310013","6.00","-20.01","-12.83"
"8.380005","-1.18","-12.28","1.26"
"8.450012","3.61","-3.06","1.29"
"8.520004","-11.85","10.94","-7.41"
"8.590012","16.20","20.01","-12.00"
"8.660004","-20.01","-20.01","10.98"
"8.730011","-1.92","-20.01","-0.31"
"8.810013","20.01","-6.35","20.01"
"8.880005","3.14","-2.24","5.84"
"8.950012","-3.18","-4.31","9.61"
"9.020004","15.38","-20.01","-7.22"
"9.090012","-4.63","-20.01","8.20"
"9.160004","-4.16","1.53","-8.47"
"9.230011","-12.24","-7.73","-5.65"
"9.300003","3.92","3.69","-8.59"
"9.37001","19.65","-20.01","-20.01"
"9.450012","20.01","20.01","2.55"
"9.520004","10.08","-7.85","-2.71"
"9.590012","-2.43","-0.55","-0.47"
"9.660004","-5.45","-8.28","-0.67"
"9.730011","20.01","-20.01","1.57"
"9.800003","-3.73","-12.28","-3.14"
"9.87001","-9.85","4.12","-10.83"
"9.940002","-17.02","-6.51","6.90"
"10.01001","-5.69","1.37","-4.59"
"10.080002","4.79","-17.38","16.40"
"10.150009","-1.14","-9.18","-3.61"
"10.230011","20.01","-15.89","-13.89"
"10.300003","10.28","-5.45","5.45"
"10.37001","-5.77","-9.77","1.80"
"10.440002","20.01","-20.01","-20.01"
"10.51001","0.94","-6.12","-4.90"
"10.580002","-12.40","7.88","-1.26"
"10.650009","-16.87","-0.43","0.82"
"10.720001","0.63","7.77","-6.35"
"10.790009","4.31","-13.10","4.98"
"10.860001","-1.96","-6.35","3.61"
"10.940002","20.01","-20.01","-20.01"
"11.01001","-2.31","6.55","10.04"
"11.080002","15.49","-14.32","-6.04"
"11.150009","8.39","-20.01","-14.12"
"11.220001","-4.90","-1.88","-2.55"
"11.290009","-15.30","-4.90","-3.37"
"11.360001","6.79","5.02","-3.65"
"11.430008","-7.45","-7.06","1.96"
"11.5","17.97","-20.01","-20.01"
"11.580002","3.80","-14.91","-3.22"
"11.650009","-5.37","6.00","0.20"
"11.720001","-11.18","-16.16","7.69"
"11.790009","10.71","-20.01","3.84"
"11.860001","-20.01","-12.16","15.14"
"11.930008","-15.97","-7.69","-11.02"
"12.0","-20.01","14.51","20.01"
"12.070007","-20.01","-5.14","8.55"
"12.139999","-6.12","-16.75","-20.01"
"12.210007","4.47","-20.01","-9.10"
"12.279999","9.45","-20.01","-0.86"
"12.360001","6.67","-10.00","-4.71"
"12.430008","-3.06","-9.14","-1.96"
"12.5","-19.53","-19.26","-0.35"
"12.570007","10.32","-0.86","-20.01"
"12.639999","-0.71","-6.59","-10.79"
"12.710007","-20.01","5.33","-0.24"
"12.779999","4.47","-15.89","6.90"
"12.850006","-12.20","-14.79","-4.82"
"12.920013","-2.28","-16.28","0.90"
"13.0","20.01","-20.01","5.61"
"13.070007","-2.94","-12.32","2.86"
"13.139999","7.92","-19.77","-7.49"
"13.210007","1.57","-20.01","2.20"
"14.200012","-19.53","7.88","-3.30"
"14.270004","-5.26","-20.01","-13.42"
"14.340012","-2.79","-9.57","9.92"
"14.420013","20.01","-15.02","-6.04"
"14.4900055","-15.22","1.18","6.55"
"14.560013","19.30","-9.30","-2.82"
"14.630005","6.98","-20.01","0.39"
"14.700012","-4.67","-6.12","-5.33"
"14.770004","-8.08","0.27","-0.82"
"14.840012","-3.37","1.92","-3.57"
"14.910004","-8.12","-12.40","-2.98"
"14.980011","4.82","-20.01","-20.01"
"15.050003","12.32","-19.30","3.41"
"15.12001","16.55","-1.61","4.28"
"15.200012","-2.67","-6.67","0.71"
"15.270004","0.59","-18.79","-3.37"
"15.340012","15.49","-20.01","-4.63"
"15.410004","-9.77","-4.35","-1.45"
"15.480011","-6.20","-2.31","-0.16"
"15.550003","-3.96","0.55","-4.86"
"15.62001","-1.22","-7.53","20.01"
