"NAME:","walk_2_3.csv"
"EXPERIMENT TIME:","05/06/2023 12:26 "
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","98"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-3.77","10.87","0.08"
"0.069999695","-5.33","8.90","-3.73"
"0.1400032","-5.49","7.81","-3.96"
"0.2100029","-4.79","8.75","-3.22"
"0.2800026","-4.51","8.98","-3.30"
"0.3500023","-4.71","8.90","-3.37"
"0.42000198","-5.18","9.18","-2.04"
"0.49000168","-3.69","9.57","-2.94"
"0.5699997","-4.20","13.73","-3.26"
"0.6400032","-3.49","17.06","-6.63"
"0.7100029","-7.18","8.12","-7.69"
"0.7800026","-8.83","7.73","-5.69"
"0.8500023","-4.75","11.10","0.24"
"0.920002","-3.26","6.00","-2.35"
"0.9900017","-3.14","4.24","-2.90"
"1.0600014","-1.73","6.63","-3.73"
"1.1300011","5.37","20.01","-1.84"
"1.2000008","-4.16","12.87","-3.61"
"1.2800026","-5.10","13.10","-11.18"
"1.3500023","-8.12","2.75","-2.90"
"2.2700005","-4.35","3.26","-4.35"
"2.3400002","-1.80","5.02","-3.88"
"2.4099998","4.04","20.01","-0.39"
"2.4799995","1.84","6.71","-4.12"
"2.550003","-11.57","11.85","-5.57"
"2.6200027","-3.69","0.20","-3.77"
"2.6900024","-8.79","11.26","-3.18"
"2.7700005","-3.06","9.38","-2.59"
"2.8400002","-2.63","10.04","-0.43"
"2.9099998","-4.90","8.20","-2.51"
"2.9799995","-5.02","7.88","-2.12"
"3.050003","-3.96","11.06","-3.57"
"3.1200027","-2.35","11.92","-2.94"
"3.1900024","0.94","16.32","-0.82"
"3.2600021","-7.92","16.00","-4.28"
"3.3300018","-10.00","8.00","-6.20"
"3.4099998","-2.08","7.73","-1.92"
"3.4799995","-3.80","7.53","-1.14"
"3.550003","-4.98","2.00","-4.67"
"3.6200027","-4.82","0.27","-6.83"
"3.6900024","16.20","20.01","0.08"
"3.7600021","-0.43","5.77","-0.82"
