"NAME: ","run_1_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:41:12"
"ACTIVITY TYPE: ","RUNNING"
"COUNT OF ACTUAL STEPS: ","130"

"Time[sec]","ACC X","ACC Y","ACC Z"
"0.0","-6.94","8.59","0.27"
"0.1","-6.90","7.85","-0.24"
"0.2","-5.41","7.88","0.12"
"0.3","-2.94","8.00","-0.63"
"0.4","-4.98","9.26","-0.98"
"0.5","-6.47","10.63","0.39"
"0.6","-6.20","10.75","-0.24"
"0.7","-6.08","6.51","-1.69"
"0.8","-4.63","8.12","-2.28"
"0.9","-6.79","12.75","-2.67"
"1.0","-3.92","8.12","0.27"
"1.1","-2.82","4.35","0.20"
"1.2","-1.57","4.00","-0.39"
"1.3","-5.81","10.28","0.43"
"1.4","-8.59","14.75","-1.06"
"1.5","-5.65","12.83","-1.65"
"1.6","-5.65","5.57","-3.14"
"1.7","-3.80","3.10","-2.31"
"1.8","-8.55","8.75","-0.59"
"1.9","-9.57","15.14","-1.33"
"2.0","-5.22","9.65","-2.43"
"2.1","-2.43","5.73","-1.53"
"2.2","-2.63","7.92","-1.96"
"2.3","-5.92","15.26","-2.55"
"2.4","-9.57","15.02","-2.82"
"2.5","-5.57","7.06","-0.90"
"2.6","-4.00","2.51","-2.98"
"2.7","-4.51","3.57","-3.73"
"2.8","-7.06","10.08","-1.69"
"2.9","-9.92","12.98","2.20"
"3.0","-8.59","10.16","-0.16"
"3.1","-1.61","3.65","0.20"
"3.2","-2.04","4.79","-1.06"
"3.3","-9.81","12.47","0.63"
"3.4","-12.55","10.71","3.69"
"3.5","-5.18","2.63","-1.41"
"3.6","-1.73","1.14","-3.41"
"3.7","-5.88","5.61","-2.04"
"3.8","-10.67","12.28","2.47"
"3.9","-10.00","12.40","-0.82"
"4.0","-6.28","8.83","-3.84"
"4.1","-2.04","1.61","-3.10"
"4.2","-2.51","2.59","3.69"
"4.3","-12.94","13.22","-0.12"
"4.4","-9.69","10.75","-4.04"
"4.5","-3.57","3.22","-2.63"
"4.6","-1.73","3.10","-1.45"
"4.7","-6.83","8.47","-0.47"
"4.8","-10.55","14.79","0.82"
"4.9","-8.32","13.45","-0.16"
"5.0","-2.86","4.98","-1.26"
"5.1","-0.47","2.31","-0.75"
"5.2","-2.90","7.22","0.12"
"5.3","-11.06","15.30","0.00"
"5.4","-8.24","12.87","1.29"
"5.5","-3.22","4.12","-1.14"
"5.6","-1.96","-0.43","-2.31"
"5.7","-2.90","4.75","-1.49"
"5.8","-10.04","16.99","3.02"
"5.9","-9.26","15.34","0.75"
"6.0","-2.31","5.26","-0.59"
"6.1","-1.02","1.61","-1.57"
"6.2","-2.94","7.37","0.47"
"6.3","-7.34","18.28","3.45"
"6.4","-8.08","11.34","3.49"
"6.5","-3.30","6.55","-0.75"
"6.6","-2.00","2.04","-1.37"
"6.7","-2.55","8.04","-0.67"
"6.8","-8.79","15.46","2.63"
"6.9","-6.55","14.98","3.33"
"7.0","-3.45","5.57","0.90"
"7.1","-0.71","2.82","-1.02"
"7.2","-3.18","6.39","1.10"
"7.3","-7.26","16.36","2.90"
"7.4","-8.36","12.79","1.61"
"7.5","-2.43","3.57","1.45"
"7.6","-2.00","0.27","-0.47"
"7.7","-5.02","10.36","1.80"
"7.8","-9.10","17.89","5.06"
"7.9","-6.98","10.28","3.22"
"8.0","-0.63","2.24","0.27"
"8.1","-2.55","2.35","-1.02"
"8.2","-2.04","8.24","5.06"
"8.3","-9.26","17.02","4.43"
"8.4","-6.83","11.77","4.16"
"8.5","-3.84","3.37","2.04"
"8.6","-0.90","-1.10","-0.04"
"8.7","-5.84","3.80","1.14"
"8.8","-9.81","14.04","10.36"
"8.9","-7.14","9.65","3.77"
"9.0","-0.12","3.45","-1.02"
"9.1","-0.63","3.06","0.24"
"9.2","-4.39","9.69","4.00"
"9.3","-9.53","16.20","6.79"
"9.4","-6.55","7.26","2.75"
"9.5","-2.04","2.51","-1.80"
"9.6","-3.45","2.00","-0.59"
"9.7","-6.94","9.38","5.49"
"9.8","-5.53","15.69","8.24"
"9.9","-3.02","10.47","3.18"
"10.0","-0.04","3.33","1.18"
"10.1","1.41","2.04","0.90"
"10.2","-3.77","11.34","4.51"
"10.3","-8.47","16.63","6.35"
"10.4","-5.02","5.49","2.59"
"10.5","-2.98","0.94","-1.29"
"10.6","-4.28","5.26","-0.59"
"10.7","-6.32","18.16","9.14"
"10.8","-4.51","12.24","6.90"
"10.9","-2.04","4.63","-0.16"
"11.0","0.90","1.33","-0.20"
"11.1","-1.14","7.65","3.77"
"11.2","-5.84","17.14","7.45"
"11.3","-5.33","9.38","4.67"
"11.4","-3.10","3.22","-1.10"
"11.5","-4.67","1.10","-1.73"
"11.6","-8.55","13.02","8.12"
"11.7","-7.30","12.83","9.10"
"11.8","-2.35","6.90","2.75"
"11.9","1.41","3.45","-0.35"
"12.0","0.16","7.41","0.51"
"12.1","-7.61","14.87","3.84"
"12.2","-7.45","12.87","3.37"
"12.3","-3.30","3.22","1.96"
"12.4","-3.26","0.63","-1.49"
"12.5","-7.49","10.32","2.59"
"12.6","-7.85","13.57","9.61"
"12.7","-3.14","7.57","3.73"
"12.8","0.51","3.73","-0.24"
"12.9","-0.31","4.04","0.43"
"13.0","-6.00","14.91","6.63"
"13.1","-7.77","19.02","4.55"
"13.2","-4.82","4.51","0.55"
"13.3","-2.59","0.43","-1.18"
"13.4","-4.63","4.67","0.35"
"13.5","-11.69","11.96","4.71"
"13.6","-4.98","12.36","7.37"
"13.7","-0.27","4.35","0.78"
"13.8","0.59","3.26","0.75"
"13.9","-1.49","9.73","2.24"
"14.0","-7.49","19.26","4.31"
"14.1","-6.63","9.02","3.84"
"14.2","-3.65","2.00","-0.31"
"14.3","-3.61","0.94","-0.31"
"14.4","-8.67","10.47","4.20"
"14.5","-9.57","16.40","7.14"
"14.6","-4.71","9.34","2.86"
"14.7","0.75","2.51","1.57"
"14.8","-0.39","2.51","0.39"
"14.9","-4.75","13.53","5.02"
"15.0","-8.83","15.34","5.22"
"15.1","-3.41","5.49","2.82"
"15.2","-3.33","0.04","-1.41"
"15.3","-4.47","7.14","2.12"
"15.4","-7.69","18.12","6.28"
"15.5","-3.18","11.06","5.49"
"15.6","-0.59","4.82","1.65"
"15.7","1.65","3.06","-1.61"
"15.8","-3.22","9.45","3.10"
"15.9","-10.40","14.91","5.33"
"16.0","-5.30","6.98","2.75"
"16.1","-2.82","2.63","-2.47"
"16.2","-4.00","4.24","0.16"
"16.3","-9.57","15.93","5.92"
"16.4","-6.83","12.16","6.16"
"16.5","-1.53","4.98","2.12"
"16.6","1.92","2.39","-0.08"
"16.7","-0.82","7.41","2.28"
"16.8","-9.65","14.55","6.04"
"16.9","-5.02","7.57","3.65"
"17.0","-2.94","2.79","-0.47"
"17.1","-4.20","4.55","0.00"
"17.2","-10.51","15.38","5.45"
"17.3","-5.49","11.69","5.69"
"17.4","-2.43","3.14","1.45"
"17.5","-0.08","1.61","0.78"
"17.6","-4.47","9.18","4.86"
"17.7","-8.12","12.91","9.69"
"17.8","-6.24","7.18","1.92"
"17.9","-2.08","-0.16","0.51"
"18.0","-7.57","5.77","-0.67"
"18.1","-9.69","17.30","8.20"
"18.2","-3.57","13.61","7.65"
"18.3","0.82","2.94","1.41"
"18.4","0.82","1.96","1.33"
"18.5","-5.73","12.20","4.16"
"18.6","-7.69","14.55","6.35"
"18.7","-3.49","4.35","1.26"
"18.8","-3.77","0.82","-0.78"
"18.9","-8.32","8.79","0.20"
"19.0","-14.24","20.01","3.45"
"19.1","-2.43","7.30","2.39"
"19.2","0.59","3.49","1.45"
"19.3","0.08","4.63","1.14"
"19.4","-6.28","14.75","3.69"
"19.5","-9.06","15.42","4.79"
"19.6","-4.75","6.20","1.02"
"19.7","-5.53","1.96","2.67"
"19.8","-6.51","7.41","3.26"
"19.9","-6.90","16.87","4.24"
"20.0","-1.88","8.36","3.18"
"20.1","0.35","2.16","-1.14"
"20.2","0.90","8.24","3.84"
"20.3","-5.14","16.83","8.04"
"20.4","-5.02","9.02","4.28"
"20.5","-5.06","-0.78","-1.57"
"20.6","-4.47","4.90","1.61"
"20.7","-6.75","15.30","12.40"
"20.8","-2.55","13.93","8.55"
"20.9","1.45","3.57","1.45"
"21.0","2.75","0.90","-0.16"
"21.1","-2.63","8.47","4.08"
"21.2","-8.32","14.44","8.16"
"21.3","-5.10","6.08","2.08"
"21.4","-5.49","0.43","-2.35"
"21.5","-5.65","8.90","5.45"
"21.6","-7.02","17.46","6.20"
"21.7","-1.45","10.90","6.39"
"21.8","1.45","4.35","0.59"
"21.9","3.02","1.92","1.22"
"22.0","-1.80","11.38","5.10"
"22.1","-9.45","17.18","4.28"
"22.2","-4.71","4.04","3.88"
"22.3","-6.43","1.02","-1.29"
"22.4","-7.88","7.22","-0.12"
"22.5","-9.49","18.99","4.98"
"22.6","-2.24","11.41","6.20"
"22.7","0.98","4.08","0.31"
"22.8","-0.27","3.14","0.31"
"22.9","-6.47","9.18","6.75"
"23.0","-6.24","13.85","9.45"
"23.1","-5.33","4.12","0.35"
"23.2","-5.84","2.35","0.27"
"23.3","-7.22","7.49","5.02"
"23.4","-10.04","15.22","5.45"
"23.5","-3.73","9.69","4.86"
"23.6","0.31","4.08","-0.08"
"23.7","1.88","3.53","0.31"
"23.8","-2.67","4.47","3.88"
"23.9","-8.20","17.57","6.47"
"24.0","-6.98","9.14","3.41"
"24.1","-8.67","1.73","0.20"
"24.2","-11.02","8.28","-3.73"
"24.3","-7.81","16.67","2.71"
"24.4","-4.12","9.02","5.22"
"24.5","-0.59","3.73","0.67"
"24.6","0.90","4.43","1.33"
"24.7","-4.39","7.57","7.61"
"24.8","-12.28","14.32","5.49"
