NAME: ,run_3_1.csv,,
EXPERIMENT TIME: ,08/06/2023 14:48,,
ACTIVITY TYPE: ,RUNNING,,
COUNT OF ACTUAL STEPS: ,145,,
,,,
Time[sec],ACC X,ACC Y,ACC Z
0,-0.27,0.94,6.2
0.1,-0.12,1.65,6.83
0.2,-0.24,1.22,8.98
0.3,-0.47,1.37,9.06
0.4,-0.71,1.37,8.9
0.5,-0.9,1.73,7.3
0.6,-0.86,1.77,9.3
0.7,-0.51,0.51,12.63
0.8,-0.35,0.82,6.43
0.9,-1.84,0.12,3.73
1,-1.49,-0.04,10.28
1.1,-2.71,0.51,12.67
1.2,-1.96,0.35,8.24
1.3,1.18,-0.24,2.79
1.4,0.9,-1.96,5.3
1.5,-0.86,-3.26,15.53
1.6,-1.33,-0.82,11.85
1.7,-0.86,0.35,3.3
1.8,-0.71,1.8,1.96
1.9,-2.67,-1.65,13.45
2,-1.26,-5.22,11.96
2.1,-0.63,-3.69,7.34
2.2,1.88,-3.53,2.63
2.3,2.59,-4.35,4.63
2.4,1.33,-5.88,13.38
2.5,-0.12,-3.26,13.93
2.6,-0.63,-0.67,4.59
2.7,1.65,0.04,0.43
2.8,0.16,-0.31,10.98
2.9,-1.1,0.47,12.12
3,-1.57,-1.37,8.51
3.1,1.73,-4.9,0.94
3.2,0.94,-3.37,4.63
3.3,0.27,-2.59,16.55
3.4,1.29,-1.49,14.36
3.5,1.37,0.86,3.45
3.6,-0.2,0.35,1.06
3.7,1.29,-4.43,8.63
3.8,2.35,-7.96,15.46
3.9,1.06,-3.26,5.65
4,0.71,-3.41,-0.59
4.1,0.51,-4.71,5.69
4.2,0.59,-9.69,19.97
4.3,2.43,-1.73,9.61
4.4,1.84,2.43,0.59
4.5,-1.57,-0.12,2.08
4.6,-0.78,-5.81,11.34
4.7,2.47,-7.34,16.71
4.8,3.3,-2.39,3.22
4.9,2.31,-2.79,-0.31
5,1.88,-5.61,3.57
5.1,2.71,-4.28,16.87
5.2,-0.16,-1.49,8.67
5.3,0.31,-2.31,2.63
5.4,-0.04,-4,4.79
5.5,0.2,-5.69,9.3
5.6,2.75,-5.69,11.18
5.7,3.33,-2.9,5.1
5.8,1.61,-6.28,0
5.9,2.39,-9.53,10.36
6,1.41,-6.08,9.73
6.1,-1.45,-0.82,4.08
6.2,0.43,-5.53,4.43
6.3,-1.22,-1.14,9.14
6.4,-0.55,-7.81,8.36
6.5,-1.1,-5.26,5.81
6.6,2.31,-3.61,0.86
6.7,-1.57,-8.2,6.04
6.8,-4.2,-8.94,20.01
6.9,-0.71,-2.39,7.65
7,-0.35,1.57,-0.51
7.1,-2.08,-0.67,2.43
7.2,-5.57,-4.9,18.51
7.3,-2.79,-7.53,12.94
7.4,3.84,-5.88,2.51
7.5,2.86,-7.3,8.24
7.6,0,-8.75,15.34
7.7,0.71,-0.71,9.18
7.8,-1.73,-0.9,2.39
7.9,-4.31,-0.59,7.57
8,1.33,-8.63,11.85
8.1,0,-10.2,5.1
8.2,0.47,-7.69,4.98
8.3,1.8,-5.1,0.9
8.4,0.98,-5.06,12.12
8.5,-1.73,-3.14,12.87
8.6,-0.71,0.27,4.2
8.7,-0.55,2.51,4.08
8.8,-3.77,3.65,8
8.9,2.47,-6.55,12.04
9,0.04,-8.12,9.61
9.1,0.98,-3.26,-1.41
9.2,-4.12,-7.18,5.1
9.3,-4.9,-4.86,20.01
9.4,-0.86,-1.77,9.18
9.5,-1.26,2.16,0.27
9.6,-3.61,-5.02,6.51
9.7,-4.82,-7.45,12.32
9.8,0.67,-4.35,11.65
