"NAME: ","wal_1_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:35:29"
"ACTIVITY TYPE: ","WALKING"
"COUNT OF ACTUAL STEPS: ","100"

"Time[sec]","ACC X","ACC Y","ACC Z"
"0.0","-8.39","5.14","0.39"
"0.1","-8.75","5.45","0.51"
"0.2","-8.39","5.41","0.35"
"0.3","-8.39","5.61","-0.20"
"0.4","-8.51","5.65","0.08"
"0.5","-8.51","5.41","0.04"
"0.6","-7.85","4.94","0.08"
"0.7","-8.90","6.24","0.00"
"0.8","-8.75","5.96","0.20"
"0.9","-9.18","7.37","1.02"
"1.0","-6.67","5.02","1.26"
"1.1","-6.79","5.26","0.78"
"1.2","-6.55","5.18","1.41"
"1.3","-8.94","5.06","2.71"
"1.4","-9.49","7.41","3.10"
"1.5","-6.98","6.47","0.67"
"1.6","-7.53","6.98","-0.35"
"1.7","-6.83","5.14","-0.31"
"1.8","-6.83","4.79","0.59"
"1.9","-9.45","7.57","1.57"
"2.0","-9.69","7.77","1.22"
"2.1","-6.86","7.14","0.75"
"2.2","-6.47","5.22","0.39"
"2.3","-6.94","4.00","0.82"
"2.4","-7.69","3.06","1.10"
"2.5","-9.38","6.12","1.45"
"2.6","-9.57","8.94","1.49"
"2.7","-8.00","7.41","-0.04"
"2.8","-6.12","4.43","0.08"
"2.9","-6.24","3.69","0.43"
"3.0","-8.04","5.22","0.94"
"3.1","-10.51","8.67","2.04"
"3.2","-7.96","6.79","1.80"
"3.3","-7.06","6.75","1.57"
"3.4","-5.69","4.16","0.31"
"3.5","-7.65","4.08","1.53"
"3.6","-9.18","4.28","1.77"
"3.7","-9.61","5.84","1.29"
"3.8","-8.16","6.51","0.82"
"3.9","-8.28","6.75","0.78"
"4.0","-6.71","4.16","0.55"
"4.1","-6.90","5.06","2.12"
"4.2","-8.00","6.16","1.49"
"4.3","-9.02","9.14","1.37"
"4.4","-7.37","6.67","1.06"
"4.5","-6.08","5.96","1.29"
"4.6","-5.53","4.79","0.98"
"4.7","-7.22","4.90","2.08"
"4.8","-8.94","8.12","3.22"
"4.9","-8.51","8.12","2.04"
"5.0","-7.26","7.73","0.43"
"5.1","-6.28","5.53","0.82"
"5.2","-6.20","4.90","0.55"
"5.3","-6.79","4.86","1.22"
"5.4","-8.20","7.73","1.84"
"5.5","-7.53","7.53","2.39"
"5.6","-7.57","7.69","1.77"
"5.7","-6.24","6.00","2.08"
"5.8","-5.33","3.77","1.29"
"5.9","-6.43","3.84","2.12"
"6.0","-9.53","6.00","3.22"
"6.1","-9.30","7.22","2.94"
"6.2","-7.77","6.90","1.22"
"6.3","-7.34","6.20","1.65"
"6.4","-6.59","4.59","1.41"
"6.5","-6.67","4.08","0.86"
"6.6","-7.96","6.12","1.57"
"6.7","-8.67","7.96","1.53"
"6.8","-7.65","7.57","1.02"
"6.9","-6.90","7.92","1.84"
"7.0","-6.32","6.12","1.37"
"7.1","-6.00","3.80","1.33"
"7.2","-8.20","4.24","2.16"
"7.3","-9.22","7.14","2.00"
"7.4","-9.14","6.67","1.06"
"7.5","-8.08","6.75","0.86"
"7.6","-7.26","5.22","1.14"
"7.7","-6.51","4.00","0.78"
"7.8","-7.34","4.79","0.86"
"7.9","-8.71","8.59","1.41"
"8.0","-7.41","9.18","2.16"
"8.1","-6.51","8.94","1.92"
"8.2","-6.08","5.69","1.49"
"8.3","-5.84","3.84","0.78"
"8.4","-7.65","4.04","2.24"
"8.5","-9.34","7.18","2.67"
"8.6","-7.57","6.20","1.80"
"8.7","-7.57","6.67","0.94"
"8.8","-6.59","5.61","0.59"
"8.9","-6.94","4.82","1.14"
"9.0","-8.43","6.43","1.18"
"9.1","-8.43","7.73","1.37"
"9.2","-7.57","7.61","1.61"
"9.3","-7.10","5.49","1.49"
"9.4","-5.92","3.69","0.78"
"9.5","-7.37","3.84","1.53"
"9.6","-9.89","8.04","2.12"
"9.7","-8.79","6.90","1.69"
"9.8","-7.85","7.06","0.12"
"9.9","-6.90","5.45","0.90"
"10.0","-6.32","4.12","1.06"
"10.1","-8.04","5.41","1.57"
"10.2","-8.79","7.41","2.47"
"10.3","-8.08","7.53","2.47"
