"NAME: ","walk_3_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:39:39"
"ACTIVITY TYPE: ","WALKING"
"COUNT OF ACTUAL STEPS: ","56"

"Time[sec]","ACC X","ACC Y","ACC Z"
"0.0","-4.47","9.18","-0.43"
"0.1","-4.24","9.49","-0.24"
"0.2","-4.24","9.65","0.04"
"0.3","-4.94","9.22","0.35"
"0.4","-5.02","8.71","0.43"
"0.5","-5.53","7.92","-0.24"
"0.6","-5.41","7.96","-0.39"
"0.7","-4.86","8.16","-0.27"
"0.8","-5.61","8.32","-0.12"
"0.9","-6.51","9.49","0.16"
"1.0","-5.69","8.83","-0.24"
"1.1","-5.06","8.36","-1.06"
"1.2","-4.75","8.47","-2.16"
"1.3","-4.82","9.81","-0.98"
"1.4","-5.02","9.26","-0.55"
"1.5","-4.98","8.90","-1.33"
"1.6","-4.79","8.55","-0.67"
"1.7","-5.18","8.87","-0.67"
"1.8","-5.49","7.92","-0.24"
"1.9","-5.33","7.92","0.59"
"2.0","-6.35","9.77","-0.75"
"2.1","-4.67","8.67","0.16"
"2.2","-4.24","8.79","0.20"
"2.3","-4.24","8.87","-0.35"
"2.4","-5.02","8.83","-0.55"
"2.5","-4.75","8.75","0.00"
"2.6","-6.24","8.43","0.00"
"2.7","-6.39","8.98","-0.59"
"2.8","-5.53","7.41","0.86"
"2.9","-6.75","8.08","-0.71"
"3.0","-6.98","9.18","-1.22"
"3.1","-5.88","7.61","-0.86"
"3.2","-5.10","7.45","0.75"
"3.3","-5.33","8.51","-0.67"
"3.4","-5.18","9.69","-1.65"
"3.5","-4.67","8.12","0.04"
"3.6","-5.02","9.34","-0.08"
"3.7","-5.84","9.22","0.31"
"3.8","-6.32","8.51","-1.14"
"3.9","-6.08","8.47","-0.35"
"4.0","-5.96","8.98","-0.24"
"4.1","-5.37","9.38","0.12"
"4.2","-5.26","9.26","-0.86"
"4.3","-4.51","8.08","-0.31"
"4.4","-4.67","9.34","-0.12"
"4.5","-4.55","8.28","0.39"
"4.6","-4.75","8.71","1.06"
"4.7","-5.41","9.18","0.67"
"4.8","-5.06","8.63","1.45"
"4.9","-5.18","7.45","0.94"
"5.0","-6.08","7.92","1.02"
"5.1","-5.65","8.39","0.90"
"5.2","-5.22","8.47","-0.08"
"5.3","-5.33","8.59","-0.31"
"5.4","-5.06","9.38","-0.59"
"5.5","-5.61","9.57","-0.43"
"5.6","-5.33","8.08","0.31"
"5.7","-5.10","8.32","0.47"
"5.8","-5.45","8.36","0.16"
"5.9","-5.61","8.12","-0.31"
"6.0","-6.08","10.00","-1.18"
"6.1","-4.86","8.87","-0.24"
"6.2","-4.28","7.92","0.90"
"6.3","-4.51","8.71","0.24"
"6.4","-4.86","9.38","0.51"
"6.5","-5.02","9.26","0.63"
"6.6","-4.79","8.32","0.98"
"6.7","-4.98","7.61","0.82"
"6.8","-5.92","6.98","0.90"
"6.9","-5.96","8.47","0.86"
"7.0","-5.18","9.57","1.49"
