NAME: ,walk_4_2.csv,,
EXPERIMENT TIME: ,08/06/2023 14:50,,
ACTIVITY TYPE: ,WALKING,,
COUNT OF ACTUAL STEPS: ,90,,
,,,
Time[sec],ACC X,ACC Y,ACC Z
0,-0.94,2.67,7.53
0.1,-0.27,2.63,8
0.2,-0.27,1.37,7.61
0.3,-1.18,2.04,8.39
0.4,-1.1,1.88,7.34
0.5,-1.1,2,8
0.6,-1.14,2.31,8.12
0.7,-2.24,3.26,9.06
0.8,-1.73,2.31,9.81
0.9,0.71,2.79,7.41
1,-0.63,6.12,7.73
1.1,-2,1.96,7.37
1.2,-1.65,2.71,5.92
1.3,-2.51,3.8,8.12
1.4,-1.73,3.88,9.34
1.5,0,0.94,6.16
1.6,0.04,0.82,7.41
1.7,-1.02,-0.67,6.71
1.8,-1.26,1.41,7.18
1.9,-1.92,1.8,8.55
2,-2.08,2.47,11.1
2.1,1.8,2.16,6.28
2.2,-1.26,2.35,7.65
2.3,-1.77,0.67,6.63
2.4,-1.96,2.63,6.43
2.5,-2.63,5.69,5.49
2.6,-0.78,2.94,9.26
2.7,0.04,3.14,7.18
2.8,-1.14,1.69,5.18
2.9,-2.24,2.82,5.81
3,-4.16,2.67,6.83
3.1,-4.63,4.43,9.22
3.2,3.69,3.26,6.83
3.3,-2.28,4.47,5.06
3.4,-2.51,1.69,6.67
3.5,-2.67,2.04,5.96
3.6,-3.45,2.98,8.51
3.7,1.02,1.57,11.65
3.8,-1.57,4.08,6.32
3.9,-0.9,1.88,5.41
4,-1.61,2.43,7.26
4.1,-2.9,1.73,9.3
4.2,-3.14,3.18,9.61
4.3,0.82,3.57,8.94
4.4,-1.18,1.88,6.83
4.5,-2.75,1.06,6.51
4.6,-2.71,2,6.51
4.7,-2.71,4.43,3.77
4.8,-2.35,5.45,9.85
4.9,-0.12,4.08,6.35
5,-0.82,0.94,5.69
5.1,-1.37,1.77,6.43
5.2,-2.43,3.37,7.3
5.3,-3.45,1.1,10.87
5.4,3.18,1.61,10.24
5.5,0.24,4.47,6.63
5.6,-2.31,-0.47,8.71
5.7,-2.24,2,5.41
5.8,-3.14,1.69,10.04
5.9,-2.08,4.98,11.3
6,1.41,2.94,6
6.1,-1.02,1.57,5.81
6.2,-1.61,1.37,6.24
6.3,-2.47,2.43,6.67
6.4,-2.98,2.24,10.32
6.5,3.14,2.51,11.06
6.6,-0.94,5.22,6.12
6.7,-1.84,3.57,4.59
6.8,-2.51,2,5.33
6.9,-4.12,3.96,7.45
7,-4.47,5.65,10.16
7.1,3.37,4.82,6.28
7.2,-0.04,0.75,6.63
7.3,-1.14,2.08,4.75
7.4,-1.8,2.94,6.12
7.5,-2.82,2.31,8.55
7.6,-0.67,3.45,12.12
7.7,0.78,6.94,7.69
7.8,-0.75,0.16,7.14
7.9,-2.04,1.26,6.51
8,-3.45,3.69,6.12
8.1,-3.96,4.86,8.98
8.2,0,1.96,10.9
8.3,0.35,1.49,8.24
8.4,-1.65,2.82,5.57
8.5,-1.92,1.49,6.08
8.6,-3.06,0.71,9.38
8.7,-4.35,5.18,10.2
8.8,1.33,4.51,8.2
8.9,-0.63,1.29,7.37
9,-3.37,1.33,4.75
9.1,-3.84,2.39,6.47
9.2,-5.45,3.77,8.67
9.3,3.33,1.92,12.12
9.4,-1.18,0.43,6.39
9.5,-0.47,2.28,5.22
9.6,-2.86,1.41,6.39
9.7,-3.69,2.24,9.14
9.8,-0.55,3.73,9.3
9.9,-1.61,7.73,10.4
10,-1.8,0,6.9
10.1,-3.77,1.02,5.22
10.2,-3.49,3.49,5.65
10.3,-5.65,5.41,9.61
10.4,1.49,-0.67,11.77
10.5,-0.94,2.51,6.67
10.6,-1.18,2,5.81
10.7,-2.71,1.14,6.79
10.8,-2.82,1.57,10.24
10.9,-1.33,4.43,10.98
11,-0.86,8.12,8.71
11.1,-1.65,0.78,7.57
11.2,-3.1,0.63,5.61
11.3,-3.49,1.84,6.39
11.4,0.55,7.81,4.2
11.5,-1.33,6.24,8.75
11.6,-2.08,0.08,5.81
11.7,-1.8,1.92,4.67
11.8,-3.14,1.37,7.77
11.9,-2.71,1.69,11.53
12,1.02,3.53,7.69
