"NAME:","run_2_1"
"EXPERIMENT TIME:","2023-06-09 16:56:42"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","110"
"",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.051","-0.86","-0.63","9.96"
"0.102","-0.98","-0.47","9.61"
"0.153","-0.67","-0.71","9.65"
"0.204","-0.9","-0.51","9.69"
"0.255","-0.82","-0.78","10.08"
"0.306","-0.82","-0.51","9.06"
"0.357","-1.18","-0.78","9.49"
"0.408","-0.94","-0.51","9.96"
"0.459","-0.82","-0.55","10.0"
"0.51","-0.63","-0.67","9.81"
"0.561","-0.67","-0.67","9.69"
"0.612","-0.67","-0.78","9.69"
"0.663","-0.82","-0.43","9.49"
"0.714","-0.71","-0.47","9.06"
"1.428","0.0","0.59","9.34"
"1.479","0.0","0.55","13.89"
"1.53","2.43","-2.98","14.59"
"1.581","1.26","0.35","14.08"
"1.632","-2.71","0.0","11.1"
"1.683","-1.57","-4.28","9.38"
"1.734","-1.88","-0.27","2.47"
"1.785","-2.55","-2.12","6.75"
"1.836","-1.61","-1.92","9.02"
"1.887","-1.18","-0.27","16.55"
"1.938","-0.31","1.37","12.0"
"1.989","0.04","3.1","6.08"
"2.04","3.18","0.43","5.18"
"2.091","3.26","0.47","6.28"
"2.142","2.08","1.29","7.34"
"2.193","4.12","-0.59","14.24"
"2.244","0.0","2.75","17.1"
"2.295","-2.12","3.53","12.43"
"2.346","-3.41","-3.73","8.32"
"2.397","0.71","-7.02","6.39"
"2.448","-2.55","2.08","1.84"
"2.499","-1.14","-5.77","12.43"
"2.55","-8.63","4.75","9.69"
"2.601","1.84","-4.0","16.83"
"2.652","-1.61","0.71","14.08"
"2.703","-0.12","3.1","8.43"
"2.754","5.49","1.14","2.59"
"2.805","2.16","0.31","7.96"
"2.856","-1.22","2.79","9.3"
"2.907","0.27","-1.22","14.32"
"2.958","-1.02","3.49","13.53"
"3.009","-1.61","0.16","10.51"
"3.06","-2.35","-3.41","8.43"
"3.111","-1.88","-2.04","6.75"
"3.162","-2.28","0.04","4.51"
"3.213","-2.24","-2.55","6.71"
"3.264","-4.51","0.24","14.36"
"3.417","0.67","3.57","5.33"
"3.468","3.92","0.24","4.31"
"3.519","2.2","-0.51","8.28"
"3.57","1.02","-1.45","10.36"
"3.621","2.67","-4.31","15.3"
"3.672","0.67","0.82","15.14"
"3.723","-3.41","0.43","11.02"
"3.774","-3.73","-0.75","3.22"
"3.825","0.67","-5.88","6.39"
"3.876","-3.18","0.2","5.96"
"3.927","-1.22","-5.45","12.2"
"3.978","-6.51","3.84","13.49"
"4.029","-1.88","1.88","15.22"
"4.08","-0.82","0.78","11.45"
"4.131","1.33","1.26","5.22"
"4.182","2.12","1.57","2.94"
"4.233","0.94","3.73","5.88"
"4.284","4.08","-5.65","20.01"
"4.335","-2.12","6.98","9.3"
"4.386","5.73","-2.59","14.98"
"4.437","-5.26","3.06","12.75"
"4.488","-1.14","-4.24","7.88"
"4.539","-2.71","0.24","3.88"
"4.59","-1.8","-1.18","2.31"
"4.641","-1.53","-3.77","8.24"
"4.692","-3.22","2.31","9.96"
"4.743","0.39","0.67","14.87"
"4.794","-1.49","2.16","11.18"
"4.845","4.94","-0.82","7.45"
"4.896","3.49","1.96","9.77"
"4.947","2.0","2.59","8.79"
"4.998","3.18","-1.06","14.91"
"5.049","0.55","6.04","13.53"
"5.1","4.39","-1.41","17.22"
"5.151","-3.61","-0.82","13.22"
"5.202","-2.28","-2.94","4.59"
"5.253","-2.98","-0.67","1.14"
"5.304","0.12","-5.33","4.28"
"5.355","-3.14","-3.61","12.12"
"5.406","2.43","4.16","8.94"
"5.457","1.73","-0.51","13.1"
"194.46774","-1.73","2.75","9.38"
"5.61","2.39","3.26","5.69"
"5.661","4.98","-1.33","8.16"
"5.712","3.1","5.65","9.53"
"5.764","6.24","-2.28","18.32"
"5.815","-4.98","1.84","19.93"
"5.866","-4.16","-0.9","10.36"
"5.917","-0.55","-2.71","2.39"
"5.968","-2.75","-1.45","3.49"
"6.019","-3.57","-4.24","9.3"
"6.07","-7.26","0.59","15.34"
"6.121","-0.35","-2.47","14.28"
"6.172","1.69","-0.82","7.57"
"6.223","1.29","1.77","3.14"
"6.274","-0.78","3.02","6.51"
"6.325","1.33","0.98","9.34"
"6.376","1.57","0.0","14.04"
"6.427","0.67","3.3","13.3"
"7.396","0.47","-9.1","16.24"
"7.447","-12.24","9.02","15.53"
"7.498","-2.39","-0.43","12.43"
"7.549","-3.65","3.77","11.02"
"7.6","0.71","-0.47","4.82"
"7.651","3.3","-0.63","-0.55"
"7.804","-1.61","2.28","15.89"
"7.855","0.9","0.2","17.65"
"7.906","-1.18","-3.18","13.93"
"7.957","0.08","-4.82","5.61"
"8.008","0.2","-2.31","2.43"
"8.059","-3.14","1.06","3.92"
"8.11","-1.65","-7.02","13.85"
"8.161","-4.47","3.88","13.73"
"8.212","0.43","-2.79","14.59"
"8.263","-1.8","2.67","9.34"
"8.314","0.43","2.75","3.1"
"8.365","3.77","1.88","2.98"
"8.416","2.82","4.0","5.18"
"8.467","4.94","-1.96","13.89"
"8.518","1.33","5.14","12.0"
"8.569","-4.16","2.75","17.5"
"8.62","-3.88","-4.24","11.96"
"8.671","-1.02","-8.2","5.06"
"8.722","-0.59","-6.28","6.51"
"8.773","-5.18","-3.3","3.84"
"8.824","-2.35","-8.98","12.0"
"8.875","-2.31","-0.31","14.08"
"8.926","1.61","1.02","13.77"
"8.977","4.82","1.45","7.92"
"9.028","1.14","4.31","7.3"
"9.079","4.39","3.8","6.47"
"230.6857","5.61","-2.67","8.36"
"9.232","1.14","2.28","18.4"
"9.283","-2.51","0.67","14.24"
"9.334","-2.2","-6.55","10.36"
"9.385","-2.47","-0.47","4.86"
"9.436","-1.14","1.14","-1.53"
"9.487","-2.24","-4.71","10.28"
"9.538","-4.71","0.9","11.22"
"9.589","2.51","-0.12","13.73"
"9.64","-2.67","4.39","10.87"
"9.691","1.29","3.8","4.47"
"9.742","4.71","2.43","5.77"
"9.793","1.65","7.41","7.45"
"9.844","1.69","-4.12","20.01"
"9.895","0.12","1.22","16.87"
"9.946","-0.12","0.63","12.32"
"9.997","-0.27","0.35","8.75"
"10.048","-3.88","-0.75","6.2"
"10.099","-1.84","-2.08","1.49"
"10.15","-5.1","0.63","0.0"
"10.201","-0.2","-10.51","14.0"
"10.252","-4.75","5.88","13.96"
"10.303","-0.08","1.33","15.89"
"10.354","-0.24","4.51","7.85"
"10.405","1.45","3.73","4.12"
"10.456","6.55","4.0","5.92"
"10.507","5.1","0.82","11.18"
"10.711","-2.63","-2.82","6.55"
"10.762","-0.55","-2.12","2.47"
"10.813","-3.14","1.45","4.39"
"10.864","-1.84","-2.79","8.16"
"10.915","-1.77","1.57","9.89"
"10.966","-2.39","3.3","16.24"
"11.017","2.35","-0.27","11.53"
"11.068","2.47","3.96","6.12"
"11.119","5.22","-0.59","9.69"
"11.17","2.71","4.43","7.73"
"11.221","5.61","-2.63","12.94"
"11.272","0.2","3.88","8.75"
"11.323","1.69","0.16","19.3"
"11.374","-2.12","0.08","15.18"
"11.425","0.08","-5.65","4.04"
"11.476","-3.1","1.49","4.71"
"11.527","-4.0","0.59","3.18"
"11.578","-4.98","-4.98","8.55"
