"NAME:","walk_4_1"
"EXPERIMENT TIME:","2023-06-09 16:46:36"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","100"
"",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.051","0.78","-5.1","8.71"
"0.102","0.71","-5.22","8.94"
"0.153","0.67","-4.98","8.39"
"0.204","0.59","-4.94","8.36"
"0.255","0.78","-5.1","8.24"
"0.306","0.75","-5.1","8.28"
"0.357","0.12","-4.75","8.79"
"0.408","0.59","-4.63","8.47"
"0.459","1.33","-5.14","8.08"
"0.51","1.65","-5.18","7.57"
"0.561","1.69","-4.9","8.0"
"0.612","0.71","-3.26","7.18"
"0.663","1.37","-5.61","9.92"
"0.714","2.47","-5.49","8.94"
"1781.4885","2.39","-5.37","8.51"
"0.867","1.26","-3.65","7.81"
"1783.0184","1.22","-4.47","9.14"
"1.428","0.08","-3.84","6.79"
"1.479","0.04","-2.79","5.06"
"1.53","-0.04","-2.98","5.96"
"1.581","0.39","-3.73","6.79"
"1.632","1.06","-4.98","9.77"
"1.683","1.06","-6.32","11.22"
"1.734","0.67","-6.86","11.18"
"1.785","1.8","-7.34","10.36"
"1.836","1.37","-5.41","6.32"
"1.887","0.31","-7.45","10.16"
"1.938","1.06","-6.47","7.92"
"1.989","1.06","-4.43","6.08"
"2.04","1.02","-3.3","5.53"
"2.091","0.55","-3.14","5.96"
"2.142","0.04","-3.37","7.85"
"2.193","0.0","-5.49","9.73"
"2.244","0.12","-7.57","10.9"
"1796.7977","-0.31","-7.26","11.1"
"2.398","-0.51","-5.57","7.57"
"2.449","-0.47","-4.82","7.81"
"2.5","0.94","-5.69","7.57"
"2.551","0.78","-3.77","6.24"
"2.602","0.71","-2.71","5.33"
"2.653","0.55","-3.3","6.67"
"2.704","0.9","-4.94","9.96"
"2.755","1.41","-5.69","10.08"
"2.806","0.63","-6.35","11.96"
"2.857","0.86","-7.53","11.92"
"2.908","0.71","-5.26","7.45"
"2.959","0.59","-5.53","7.22"
"3.01","1.92","-7.02","8.47"
"3.061","0.35","-3.84","6.0"
"3.112","0.59","-2.79","5.69"
"3.163","0.43","-3.02","6.35"
"3.214","0.16","-3.73","8.55"
"3.265","0.35","-6.63","11.38"
"3.316","-2.08","-5.73","10.2"
"3.367","-0.2","-8.59","11.65"
"3.418","1.88","-9.41","10.4"
"3.469","-0.98","-4.63","5.61"
"3.52","-1.69","-4.16","9.77"
"3.571","1.18","-4.59","6.39"
"3.622","0.55","-2.9","5.02"
"1810.5674","0.27","-2.9","5.37"
"3.775","1.92","-6.35","10.36"
"3.826","1.18","-6.86","10.4"
"3.877","1.29","-7.85","11.18"
"3.928","2.08","-6.75","8.32"
"3.979","0.75","-5.33","6.71"
"4.03","1.29","-7.1","8.83"
"4.081","1.8","-5.81","6.04"
"4.132","1.1","-3.18","4.35"
"4.183","0.63","-2.82","5.92"
"4.234","1.29","-4.16","7.18"
"4.285","1.41","-6.43","10.98"
"4.336","0.24","-7.37","10.55"
"4.387","0.86","-8.08","10.71"
"4.438","1.96","-8.24","9.89"
"4.489","0.94","-7.45","8.08"
"4.54","0.16","-5.53","7.14"
"4.591","0.94","-4.47","6.24"
"4.642","1.14","-3.84","6.2"
"4.693","0.71","-2.79","5.22"
"4.744","0.35","-2.86","6.63"
"4.795","1.57","-5.22","9.3"
"4.846","0.9","-5.61","11.18"
"4.897","1.45","-6.75","11.45"
"4.948","2.39","-7.02","10.79"
"4.999","2.04","-4.75","6.79"
"5.05","1.73","-6.39","8.32"
"5.101","1.61","-5.77","6.71"
"5.152","0.51","-2.71","5.18"
"5.203","-0.39","-1.53","3.49"
"5.254","0.78","-3.41","6.2"
"5.305","0.78","-5.69","10.98"
"5.356","0.63","-6.35","10.2"
"5.407","0.27","-7.3","12.2"
"5.458","0.78","-7.69","10.9"
"5.509","1.92","-7.96","8.2"
"5.56","-1.18","-5.14","6.75"
"5.611","0.27","-6.2","8.87"
"5.662","1.22","-4.55","6.47"
