NAME:,matan r 2,,
EXPERIMENT TIME:,Thu Jun 01 12:45:58 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNTS OF ACTUAL STEPS:,163,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
0,5.61,-0.75,-3.84
0.067108864,9.57,-0.43,-5.49
0.134217728,12.04,0.16,-6.59
0.260046848,10.94,0.35,-13.26
0.318767104,7.02,3.92,-14.32
0.385875968,11.96,2.24,-11.77
0.494927872,4.86,0.24,-4.67
0.553648128,-2.31,-0.94,-3.14
0.637534208,2.2,-6.12,-10.12
0.729808896,18.36,-4.98,-15.69
0.79691776,14.04,-0.78,-8.51
0.88080384,-1.84,1.45,-2.47
0.96468992,-2.35,2.98,-4.16
1.048576,9.61,-1.37,-14.51
1.115684864,15.69,5.26,-12.83
1.21634816,8.24,-0.24,-4.82
1.283457024,-5.65,-1.29,-3.3
1.358954496,-0.47,-1.06,-3.26
1.434451968,20.01,-0.94,-20.01
1.526726656,16.71,-1.8,-11.22
1.610612736,1.65,0.78,-3.41
1.694498816,-7.53,4.55,-4.31
1.778384896,2.82,2.16,-4.24
1.862270976,20.01,9.89,-20.01
1.920991232,11.3,-2.75,-6.98
2.071986176,-3.3,-0.67,-1.49
2.130706432,-1.06,-2.2,-2.71
2.164260864,7.34,-8.16,-15.81
2.248146944,20.01,-2.12,-13.02
2.332033024,12.04,0.59,-4.82
2.424307712,-14.67,2.12,0.59
2.491416576,1.1,-0.55,-2.35
2.575302656,20.01,-0.12,-15.85
2.659188736,15.38,-3.45,-10.98
2.734686208,-0.35,0.59,-2.39
2.81018368,-5.53,-3.53,-2.43
2.89406976,3.1,-2.08,-7.14
3.036676096,20.01,-5.37,-12.79
3.112173568,13.93,2.31,-5.26
3.162505216,-15.65,0.47,-1.22
3.22961408,-0.04,2.24,-2.79
3.31350016,12.75,5.96,-18.75
3.39738624,20.01,-2.28,-8.79
3.456106496,4.43,-0.2,-5.02
3.539992576,-2.31,-1.22,-2.63
3.623878656,0.47,-0.35,-3.61
3.716153344,20.01,-4.08,-13.34
3.800039424,13.45,-0.94,-5.18
3.925868544,-0.16,5.49,-3.45
3.992977408,-4.79,1.73,-3.53
4.060086272,2.39,5.53,-10.67
4.127195136,20.01,-7.45,-9.41
4.185915392,14.28,-2.28,-5.61
4.269801472,-6.79,-1.06,-0.82
4.798283776,0.35,-3.06,-3.96
5.301600256,20.01,0.04,-15.02
5.32676608,16.75,0.27,-5.92
5.343543296,4.9,2.47,-3.53
5.351931904,-8.79,2.79,-2.94
5.360320512,7.57,1.73,-4.39
5.402263552,-7.49,2.9,-2
5.49453824,0.24,0.04,-4.04
5.586812928,20.01,11.22,-20.01
5.670699008,12.36,-2.31,-7.49
5.729419264,-0.35,-0.94,-1.57
5.83008256,-1.69,-3.41,-1.88
5.905580032,0.86,-2.79,-6.83
5.989466112,20.01,-1.65,-15.49
6.056574976,11.49,3.61,-6.2
6.132072448,-7.85,1.37,-0.39
6.215958528,0.55,1.53,-4.67
