"NAME:","run_3_1"
"EXPERIMENT TIME:","Thu Jun 01 21:48:08 GMT+03:00 2023"
"ACTIVITY TYPE:","Running"
"COUNTS OF ACTUAL STEPS:","115"
"  "," "
"Time [sec]","ACC X","ACC Y","ACC Z"
"0","-10.16","1.41","-5.49"
"0.058720256000000005","-10.47","1.14","-4.55"
"0.142606336","-10.98","2.24","-6.24"
"0.218103808","-10.16","2.86","-7.06"
"0.29360128","-7.26","1.29","-5.61"
"0.385875968","-3.41","-1.53","-4.47"
"0.44459622400000004","-11.06","5.02","-5.30"
"0.536870912","-20.01","-0.20","-4.98"
"0.612368384","-14.67","-0.75","-7.06"
"0.696254464","-5.14","0.90","-3.02"
"0.7801405440000001","1.26","-2.47","-0.24"
"0.855638016","-3.37","0.86","-5.77"
"0.956301312","-19.93","3.80","-4.55"
"1.031798784","-17.06","3.33","-9.10"
"1.1072962560000001","-7.73","1.77","-6.51"
"1.191182336","1.49","0.75","1.77"
"1.291845632","0.04","1.53","-2.75"
"1.3673431040000001","-16.63","2.47","-6.83"
"1.434451968","-20.01","2.47","-7.96"
"1.5099494400000002","-17.14","0.55","-5.96"
"1.59383552","-2.24","0.71","-2.63"
"1.6777216000000001","0.90","0.75","-0.71"
"1.76160768","-0.59","-0.31","-3.41"
"1.8371051520000001","-17.42","5.77","-6.43"
"1.9209912320000002","-20.01","-0.12","-8.59"
"1.9881000960000001","-8.98","2.71","-5.73"
"2.0719861760000002","0.51","-0.39","-0.24"
"2.164260864","0.39","2.08","-2.24"
"2.231369728","-13.81","2.20","-5.14"
"2.3152558080000003","-20.01","4.31","-3.37"
"2.399141888","-18.91","1.88","-4.90"
"2.4746393600000003","-2.16","-0.35","-2.47"
"2.566914048","0.51","0.16","-1.29"
"2.650800128","-0.47","0.94","-3.14"
"2.7262976","-20.01","3.14","-10.16"
"2.81018368","-20.01","2.35","-8.32"
"2.885681152","-10.83","1.80","-5.18"
"2.961178624","2.00","-0.27","-0.08"
"3.045064704","1.06","0.51","-0.90"
"3.128950784","-6.79","1.92","-6.08"
"3.204448256","-20.01","-0.98","-6.24"
"3.2799457280000004","-20.01","0.20","-5.61"
"3.372220416","-5.18","0.12","-2.43"
"3.4561064960000003","1.06","-0.24","-0.31"
"3.531603968","-1.37","-0.59","-3.02"
"3.60710144","-20.01","5.49","-7.22"
"3.69098752","-20.01","0.59","-7.49"
"3.766484992","-9.65","2.04","-6.35"
"3.850371072","1.45","-1.73","-0.16"
"3.9342571520000003","-1.33","2.51","-2.12"
"4.018143232","-5.53","2.16","-3.37"
"4.538236928","-20.01","5.10","-3.41"
