NAME:,run_5_1,,
EXPERIMENT TIME:,Thu Jun 01 21:51:35 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNTS OF ACTUAL STEPS:,133,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
0,-9.89,1.45,-5.41
0.067108864,-9.14,1.29,-5.22
0.16777216,-9.73,0.9,-4.9
0.234881024,-10.36,1.96,-5.3
0.318767104,-10,1.84,-5.57
0.402653184,-12,2.47,-7.53
0.494927872,-10.63,2.43,-7.45
0.570425344,-2.31,0.75,-1.1
0.654311424,-2.82,3.18,-0.55
0.729808896,-16.59,-1.53,-5.61
0.822083584,-18.28,-2.24,-4.63
0.889192448,-11.26,2.63,-5.14
0.973078528,0.78,-1.33,1.26
1.048576,-1.29,-1.61,-3.8
1.149239296,-11.77,2.28,-9.1
1.224736768,-16.04,4.55,-7.18
1.308622848,-17.97,1.96,-9.14
1.375731712,-9.69,-1.18,-3.65
1.451229184,0.35,2.86,0.47
1.535115264,1.06,0.08,-2.12
1.610612736,-12.2,-0.39,-8.87
1.711276032,-20.01,-1.53,-7.1
1.795162112,-20.01,-2.67,-8.08
1.870659584,-4.55,2.04,-1.33
1.937768448,-1.77,-0.67,0.9
2.01326592,-1.61,1.61,-1.61
2.113929216,-11.77,0.39,-6.12
2.197815296,-20.01,-0.39,-11.53
2.281701376,-19.38,1.49,-9.65
2.357198848,-3.14,1.02,-1.77
2.43269632,-4.47,-1.1,-0.71
2.5165824,-0.78,1.92,-1.96
2.608857088,-17.42,-3.61,-8.75
2.667577344,-20.01,6.24,-8.32
2.759852032,-18.4,-0.2,-5.92
2.826960896,-2.2,2.98,-0.67
2.927624192,-1.96,-0.71,-0.78
3.003121664,-0.9,0.08,-2.28
3.078619136,-15.38,11.1,-14.28
3.162505216,-20.01,-0.98,-1.57
3.246391296,-7.02,2.47,-5.41
3.321888768,2.31,-4.47,1.53
3.39738624,-2.55,5.81,-2.71
3.48127232,-6.28,-0.12,-4.98
3.556769792,-20.01,-3.41,-8.12
3.632267264,-20.01,1.29,-7.69
3.73293056,-4.71,1.53,-2.24
3.81681664,0.67,2.24,2.08
3.892314112,-3.37,-0.55,0
3.959422976,-9.14,-2.51,-6.63
4.060086272,-20.01,-1.49,-9.65
4.15236096,-19.06,4.63,-10.2
4.211081216,-6.98,-0.24,-1.22
4.286578688,-1.88,1.69,0.67
4.387241984,-0.63,-0.51,-2.71
4.479516672,-18.51,-1.14,-9.92
4.538236928,-20.01,6.35,-10.16
4.6137344,-17.46,2.04,-7.73
5.142216704,-0.39,-0.35,-0.67
5.192548352,-4.31,0.67,-1.06
5.209325568,0.39,-2.55,-1.73
5.226102784,-17.73,4.28,-18.12
5.24288,-20.01,-0.12,-7.73
5.259657216,-10.28,3.1,-4.86
5.301600256,1.8,-2.98,0.04
5.318377472,1.92,3.14,-3.77
5.36870912,-4.59,-0.16,0.24
5.435817984,-20.01,4.63,-7.85
5.511315456,-20.01,-0.47,-7.57
5.595201536,-9.57,4.51,-3.77
5.670699008,4.75,-1.22,0.86
5.754585088,-3.49,-2.98,-2.31
5.821693952,-5.77,-1.26,-5.14
5.930745856,-20.01,-1.22,-12.83
6.006243328,-20.01,1.14,-9.18
6.064963584,-2,1.61,-0.86
6.148849664,-4.67,2.08,-0.59
6.232735744,0.75,2.35,-2.71
6.316621824,-18.36,-2.12,-9.41
6.408896512,-20.01,3.02,-10.75
6.492782592,-13.96,2.47,-8.67
6.568280064,0.63,0.94,-0.51
6.643777536,-3.14,0.47,1.53
6.736052224,-2.55,-0.67,-4.28
6.811549696,-16.16,4.71,-13.77
6.895435776,-20.01,-0.2,-11.85
6.970933248,-16,-1.41,-7.22
7.04643072,4.28,-0.75,-0.31
7.121928192,-0.16,3.57,-1.73
7.197425664,-2.9,2.2,-2.47
7.306477568,-15.97,-2.04,-8.24
7.38197504,-20.01,3.14,-8.9
7.46586112,-10.83,2.31,-6.83
7.524581376,5.33,0.24,-0.08
7.608467456,-3.77,-0.67,-0.78
7.692353536,-8.9,-2,-4
7.776239616,-20.01,3.06,-9.96
7.851737088,-20.01,1.61,-11.02
7.944011776,-9.22,0.9,-6.71
8.019509248,2.47,-0.78,1.14
8.09500672,-2.12,3.02,-2.63
8.170504192,-5.3,1.88,-7.22
8.271167488,-20.01,3.8,-10
8.355053568,-20.01,2.08,-8.12
8.43055104,-7.1,1.06,-3.61
8.506048512,3.8,1.14,1.84
8.589934592,-4.31,0.86,-2.12
8.673820672,-9.26,1.73,-6.59
8.749318144,-20.01,2.55,-7.96
8.816427008,-16.67,2,-9.3
8.917090304,-1.73,-0.04,1.33
8.992587776,-2.55,-1.1,1.45
9.076473856,-0.86,2.12,-1.22
9.151971328,-19.93,-1.41,-6.75
9.235857408,-20.01,6.47,-8.98
9.31135488,-11.81,0.55,-6.55
9.403629568,4.63,1.92,-0.51
9.462349824,-2.71,-2.98,-1.61
9.571401728,-7.61,-2,-2.12
9.638510592,-20.01,2.63,-9.57
9.705619456,-20.01,2.31,-10.32
9.797894144,-8.51,2.24,-2.82
9.873391616,-1.26,0,0.59
9.957277696,1.18,1.33,-2.31
10.04116378,-11.49,-0.67,-9.69
10.13343846,-20.01,4.75,-4.79
10.65353216,-19.97,1.22,-7.14
11.15684864,-2.79,1.22,-1.49
11.17362586,-4.24,0.27,-1.57
11.20718029,-16.12,6.28,-14.16
11.2155689,-20.01,2.86,-8.94
11.23234611,-11.34,0.31,-7.88
11.24912333,1.65,-1.77,2.67
11.25751194,0.2,4.75,-2.43
11.26590054,-5.06,-1.26,-4.51
11.27428915,-20.01,-1.26,-8.2
11.29106637,-20.01,3.06,-7.53
11.29945498,-4.43,1.29,-4.16
11.33300941,2.71,0.71,0.27
11.37495245,-4.86,-2,-1.69
11.41689549,-13.93,-0.59,-0.86
11.50078157,-20.01,1.8,-8.39
11.58466765,-20.01,5.41,-9.61
11.65177651,-5.69,-0.08,-3.02
11.73566259,-1.37,0.55,-1.14
11.82793728,-1.06,0.94,-0.67
11.90343475,-17.57,-1.61,-11.53
11.97893222,-18.67,3.14,-11.06
12.0628183,-16.67,2.47,-5.92
12.1634816,-1.69,-1.84,0.31
12.23897907,0.08,1.45,-1.14
12.30608794,-4.47,-0.9,-2.47
12.38158541,-18.36,3.96,-9.41
12.4738601,-20.01,2.2,-12
12.55774618,-8.9,2.2,-4.04
12.63324365,0.63,-2.08,0.78
12.71712973,-0.24,0.16,-1.92
12.80101581,-6.35,-1.14,-8.39
12.87651328,-19.46,-5.77,-12.16
12.96878797,-20.01,5.3,-10.24
