NAME:,matan w 1,,
EXPERIMENT TIME:,Thu Jun 01 11:56:25 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNTS OF ACTUAL STEPS:,102,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
0,9.89,-3.41,-2.79
0.075497472,9.45,-3.14,-2.82
0.159383552,8.04,-3.14,-2.08
0.234881024,7.41,-2.16,-1.37
0.327155712,8.75,-1.88,-0.98
0.4194304,11.41,-2.04,-0.71
0.478150656,15.38,-6.9,-4.31
0.612368384,4.35,-2,-3.69
0.679477248,10.2,-2.71,-4.71
0.738197504,9.61,-3.8,-3.57
1.249902592,8.43,-2.04,-3.45
1.753219072,8.39,-1.69,-2.51
1.769996288,7.53,-0.59,-1.33
1.786773504,17.53,-3.61,-8.39
1.795162112,7.18,-0.51,-4.08
1.870659584,4.35,-1.57,-3.69
1.962934272,7.45,-1.33,-3.18
2.01326592,12.24,-4.9,-4.35
2.113929216,9.49,-1.33,-2.79
2.189426688,7.61,-0.98,-1.53
2.281701376,6.32,-1.77,0.27
2.34881024,13.02,-3.3,-0.51
2.43269632,14.83,-2,-2.98
2.541748224,5.77,-2,-3.26
2.60046848,8.59,-1.96,-3.3
2.667577344,11.77,-1.41,-3.77
2.81018368,8.55,-2.51,-2.79
2.843738112,6.9,-3.02,-1.22
2.927624192,8.71,-3.02,-1.57
3.011510272,14.24,-4.2,-1.45
3.078619136,13.85,-7.41,-4.39
3.162505216,5.88,0.51,-2.9
3.246391296,9.02,-4.63,-1.77
3.338665984,8.12,-2.86,-3.33
3.422552064,11.85,-1.65,-2.04
3.506438144,7.85,-0.9,-1.33
3.573547008,7.85,-0.71,-2.39
3.640655872,13.93,-2.39,-1.84
3.7748736,12.04,0.04,-4.9
3.81681664,3.18,-2.04,-3.22
3.909091328,9.57,0.12,-4.71
3.959422976,9.22,-2.31,-3.1
4.060086272,8.24,-2.63,-2.82
4.143972352,6.47,-2.43,-1.1
4.211081216,9.45,-4.24,-2.75
4.303355904,11.89,-4.24,-0.31
4.378853376,11.1,-9.57,-7.57
4.454350848,6.32,0.47,-3.18
4.588568576,8,-7.45,-3.53
4.65567744,7.65,0.04,-2.67
4.714397696,8.67,-0.75,-2.2
4.78150656,6.86,-1.8,-0.82
4.882169856,11.02,-1.84,-4.08
4.932501504,16.32,-4.24,-6.98
5.0331648,8.12,0.24,-3.73
5.108662272,7.26,-2.43,-4.59
5.20093696,13.57,-2.59,-4.04
5.259657216,5.81,-1.29,-3.18
5.351931904,7.53,-3.22,-2.12
5.486149632,8.39,-2.94,-1.37
5.544869888,11.85,-2.82,-1.37
5.611978752,12.94,-4.86,-5.65
5.687476224,6.86,-1.53,-4.63
5.754585088,8.83,-1.02,-2.28
5.846859776,7.61,-4.47,-2.9
5.930745856,8.04,-1.84,-3.22
6.014631936,9.41,-0.59,-1.53
6.073352192,7.26,-1.33,-1.37
6.174015488,13.96,-2.28,1.8
6.257901568,13.77,-3.88,-3.37
6.308233216,6.12,-2.31,-4
6.408896512,9.34,-1.65,-2.43
6.484393984,9.49,-1.65,-2.86
6.618611712,5.37,-2.24,-3.69
6.66894336,9.02,-4.43,-1.26
6.736052224,8.51,-2.79,-1.57
7.239368704,10.63,-2.51,-0.2
7.7594624,13.53,-3.84,-6.67
7.767851008,2.98,-1.73,-3.84
7.776239616,12.98,-2.35,-4.98
7.793016832,8.63,-3.26,-2.9
7.793016832,7.65,-0.71,-2.59
7.80140544,11.34,-0.98,-3.53
7.851737088,7.57,-2.86,-2.82
7.944011776,6.83,-3.45,-1.22
8.036286464,8.98,-1.84,-1.49
8.09500672,12.91,-4.55,-0.82
8.1788928,14.2,-7.45,-5.49
8.254390272,3.92,1.06,-0.86
8.396996608,13.26,-6.94,-4.79
8.455716864,8.16,-2.24,-2.75
8.531214336,8.55,-0.63,-2.94
8.5983232,6.35,-0.94,-1.06
8.665432064,8.71,-1.26,-1.49
8.76609536,16.95,-4.51,-6.39
8.816427008,10.24,0.75,-4.71
8.908701696,4.08,-2.16,-4.63
9.000976384,12.12,-0.94,-4.2
9.076473856,6.28,-1.61,-3.65
9.151971328,7.73,-3.06,-2.35
9.244246016,7.49,-2.31,-0.82
9.31135488,8.59,-2.94,-2.35
9.437184,12.98,-1.65,-2.31
9.512681472,7.53,-4.24,-4.08
9.554624512,5.61,0.43,-3.02
9.638510592,10.55,-6,-3.41
9.73078528,8.47,-1.69,-3.18
9.797894144,7.81,-0.55,-1.84
9.890168832,6.59,-1.41,-0.12
9.965666304,12.32,-0.94,-2.82
10.04116378,13.77,-6.28,-7.18
10.12504986,9.69,1.02,-5.02
10.20054733,4.39,-2.16,-3.41
10.33476506,12.67,-1.53,-3.61
10.40187392,6.67,-3.18,-2.94
10.46898278,7.65,-2.75,-2.08
10.53609165,7.57,-2.35,-0.86
10.62836634,9.34,-2,-1.88
10.6954752,12.28,-3.3,-2.79
10.77936128,6.71,-4.94,-4.63
10.85485875,7.73,0.31,-4.9
10.94713344,10,-3.92,-3.49
11.03101952,7.65,-2.86,-3.53
11.15684864,8.04,-1.22,-2.43
11.2155689,6.79,-0.59,-1.14
11.29106637,10.63,-1.61,-4.82
11.34978662,13.53,-4.86,-5.69
11.41689549,3.41,4.39,-5.18
11.49239296,3.8,-3.33,-3.77
11.58466765,10.94,-0.31,-4.79
11.67694234,8,-1.73,-3.02
11.76082842,7.49,-3.3,-2.71
11.8447145,6.67,-2.71,-1.1
11.91182336,9.3,-2.67,-1.88
11.99570944,14.2,-3.33,-3.14
12.10476134,6.32,-4.79,-5.81
12.1634816,7.88,-0.04,-4.51
12.23059046,9.49,-5.49,-2.98
12.36480819,7.73,-2.67,-2.94
12.43191706,8.63,-0.82,-2.75
12.49063731,6.83,-1.14,-1.14
12.56613478,11.89,-2.63,-3.22
12.62485504,16.28,-3.22,-3.02
12.71712973,6.24,0.08,-4.86
13.22044621,6.94,-3.18,-3.65
13.74892851,13.81,-2.16,-4.04
13.74892851,8.87,-0.86,-2.94
13.75731712,7.06,-3.65,-1.49
13.76570573,7.41,-2.86,-0.71
13.78248294,7.18,-0.78,-2.39
13.86636902,14.44,-1.06,0.16
13.91670067,13.53,-1.18,-4.47
14.03414118,2.94,-1.18,-4.67
