"NAME:","idan_walk_1"
"EXPERIMENT TIME:","Thu Jun 01 11:45:53 GMT+03:00 2023"
"ACTIVITY TYPE:","Walking"
"COUNTS OF ACTUAL STEPS:","91"
"  "," "
"Time [sec]","ACC X","ACC Y","ACC Z"
"0","-8.36","-2.86","-2.63"
"0.067108864","-7.14","-4.12","-2.28"
"0.142606336","-11.26","-2.39","-1.10"
"0.218103808","-7.85","-5.96","-2.00"
"0.268435456","-12.04","-6.08","-1.96"
"0.35232153600000005","-12.98","-5.57","-5.81"
"0.436207616","-12.36","-3.88","-3.14"
"0.5284823040000001","-6.04","-2.67","-3.84"
"0.595591168","-7.45","-0.31","-2.98"
"0.687865856","-7.14","-0.98","-0.90"
"0.7549747200000001","-10.40","-3.26","-2.79"
"0.830472192","-13.02","-2.59","-4.08"
"0.9646899200000001","-9.85","-2.43","-7.06"
"1.031798784","-13.85","-3.88","-4.12"
"1.1072962560000001","-6.04","-2.47","-2.51"
"1.182793728","-7.53","-2.08","-2.28"
"1.249902592","-6.59","-2.59","-1.06"
"1.34217728","-11.34","-3.14","-2.90"
"1.400897536","-9.53","-5.02","-3.61"
"1.484783616","-9.18","-6.16","-8.90"
"1.5770583040000001","-13.45","-2.86","-3.73"
"1.644167168","-4.43","-3.30","-3.53"
"1.7867735040000001","-7.45","-0.55","-2.90"
"1.853882368","-8.16","-0.63","-1.80"
"1.9209912320000002","-11.65","-3.61","-2.08"
"1.9964887040000001","-9.96","1.02","-1.37"
"2.063597568","-15.42","0.43","-9.85"
"2.130706432","-11.69","-4.31","-3.41"
"2.206203904","-6.75","-1.14","-4.08"
"2.3068672","-6.20","-2.63","-3.14"
"2.7934064640000003","-6.71","-3.53","-2.00"
"2.801795072","-10.43","-3.57","-2.39"
"3.305111552","-9.85","-5.10","-0.27"
"3.321888768","-14.36","-9.92","-7.22"
"3.321888768","-8.55","-1.88","-4.71-7.22"
"3.3554432000000003","-9.30","-3.37","-3.73"
"3.422552064","-7.02","-1.96","-1.92"
"3.5148267520000003","-7.85","-2.79","-2.08"
"3.5987128320000004","-7.49","-3.26","-1.96"
"3.707764736","-11.96","-5.92","-3.22"
"3.783262208","-9.38","-4.98","-3.61"
"3.850371072","-13.69","-5.33","-7.81"
"3.9174799360000003","-13.45","-1.69","-2.47"
"4.051697664000001","-4.43","-2.51","-2.94"
"4.0852520960000005","-8.00","-0.55","-2.86"
"4.169138176000001","-8.32","-1.65","-1.53"
"4.244635648","-11.10","-2.47","-2.90"
"4.336910336","-9.57","0.55","-0.43"
"4.395630592","-13.53","0.78","-7.81"
"4.4879052800000006","-11.14","-4.59","-3.45"
"4.580179968","-6.75","-0.31","-4.16"
"4.672454656","-6.32","-2.16","-3.14"
"4.73956352","-6.51","-3.18","-2.08"
"4.815060992","-10.20","-4.04","-3.10"
"4.882169856","-10.24","-5.10","0.20"
"5.033164800000001","-15.77","-9.77","-6.51"
"5.07510784","-12.47","-1.41","-3.41"
"5.133828096","-7.45","-3.30","-3.88"
"5.226102784","-6.04","-1.33","-2.86"
"5.28482304","-8.04","-0.35","-1.53"
"5.377097728000001","-9.77","-1.26","-2.24"
"5.460983808","-14.87","-1.77","-1.33"
"5.544869888","-15.65","0.20","-6.83"
"5.62036736","-7.61","-2.31","-4.71"
"5.687476224","-10.28","-2.12","-4.28"
"5.83008256","-6.24","-1.84","-3.37"
"5.897191424000001","-7.92","-2.86","-1.88"
"5.9643002880000004","-8.08","-3.37","-2.00"
"6.014631936000001","-10.28","-5.18","-3.18"
"6.1069066240000005","-11.45","-4.24","-2.75"
"6.199181312","-10.43","-7.10","-9.02"
"6.257901568","-13.30","-1.77","-3.06"
"6.350176256","-5.45","-3.80","-3.65"
"6.442450944000001","-8.16","-0.59","-2.55"
"6.501171200000001","-8.04","-0.71","-1.49"
"6.643777536","-10.67","-0.71","-2.63"
"6.777995264","-13.96","-0.27","-1.45"
"6.9206016","-16.04","-1.45","-7.73"
"6.987710464","-6.63","-1.53","-6.59"
"6.996099072000001","-10.55","-2.28","-4.67"
"7.012876288","-6.83","-1.88","-3.10"
"7.0883737600000005","-7.88","-2.63","-1.77"
"7.163871232000001","-8.08","-2.79","-1.10"
"7.239368704","-11.14","-5.61","-2.16"
"7.314866176000001","-10.63","-3.06","1.65"
"7.398752256000001","-16.16","-7.81","-11.73"
"7.6671877120000005","-13.18","-3.84","-2.24"
"7.67557632","-4.94","-2.59","-3.96"
"7.876902912","-8.39","-1.06","-3.30"
"7.977566208000001","-8.16","-0.71","-1.88"
"8.128561152","-9.57","-1.53","-2.86"
"8.254390272","-12.94","-1.65","0.67"
"8.30472192","-17.69","1.80","-9.26"
"8.380219392","-11.02","-3.18","-4.28"
"8.774483968","-5.41","-0.27","-4.12"
"9.277800448","-6.98","-3.10","-2.12"
"9.277800448","-7.45","-2.12","-1.57-8.63"
"9.286189056000001","-7.49","-1.49","-1.92"
"9.781116928000001","-8.43","-0.55","-1.18"
"9.781116928000001","-15.38","-2.67","-2.00"
"10.276044800000001","-15.93","2.00","-7.69-8.00"
"10.284433408","-13.38","-3.73","-3.57"
"10.284433408","-4.59","-2.39","-3.14"
"10.787749888","-8.00","-0.59","-2.35"
"10.787749888","-8.00","-0.12","-0.78-11.96"
"10.796138496000001","-13.42","-2.28","-9.85"
"11.28267776","-13.26","-6.16","-3.49"
"11.78599424","-6.39","0.86","-2.63"
"11.78599424","-6.12","-2.63","-2.12-7.65"
"11.802771456","-9.89","-1.65","-4.08"
"11.802771456","-10.59","-0.75","0.43"
"11.811160064000001","-13.89","1.77","-8.36"
"11.811160064000001","-13.49","-4.82","-3.41-6.00"
"11.861491712000001","-10.47","-4.28","-3.73"
"11.945377792","-8.39","-4.55","-0.47"
"12.004098048000001","-10.32","-8.24","-7.65"
"12.104761344","-16.20","-3.45","-3.06"
"12.180258816","-6.04","-2.24","-3.92"
"12.255756288","-6.71","-1.02","-3.10"
"12.339642368000002","-7.85","-0.98","-1.77"
"12.41513984","-9.65","-0.75","-2.86"
"12.549357568000001","-12.79","0.35","0.39"
"12.616466432000001","-17.89","2.00","-11.30"
"12.683575296","-8.63","-3.02","-4.75"
"12.75068416","-7.45","-1.77","-3.65"
"12.834570240000001","-6.98","-2.82","-2.28"
"12.901679104000001","-7.69","-2.63","-1.18"
"12.985565184","-9.18","-4.04","-1.80"
"13.077839872","-11.10","-5.33","0.16"
"13.161725952000001","-15.02","-10.28","-5.81"
"13.270777856","-9.22","-2.90","-5.26"
"13.33788672","-7.53","-3.65","-4.86"
"13.404995584000002","-6.71","-2.24","-3.53"
"13.54760192","-7.73","0.47","-1.80"
"13.555990528","-9.02","-0.71","-3.61"
"13.690208256","-14.75","-1.88","-0.51"
"13.71537408","-18.24","1.33","-8.94"
"13.807648768000002","-9.77","-2.12","-4.28"
"13.933477888","-8.71","-1.88","-4.24"
"13.967032320000001","-7.06","-2.90","-3.37"
"14.059307008000001","-8.00","-2.90","-1.92"
"14.118027264","-8.75","-2.39","-1.61"
"14.227079168000001","-12.24","-6.75","-1.73"
"14.294188032000001","-15.22","-10.08","-5.18"
"14.361296896","-7.18","-2.47","-7.26"
"14.495514624","-9.06","-3.92","-4.82"
"14.562623488000002","-5.37","-1.84","-3.57"
"14.629732352000001","-7.88","-0.86","-2.55"
"14.688452608","-7.69","-0.12","-1.26"
"14.76395008","-10.83","-3.37","-3.18"
"14.847836160000002","-10.12","0.75","-2.12"
"14.931722240000001","-14.32","-0.43","-9.34"
"15.023996928","-12.79","-4.98","-2.59"
"15.099494400000001","-5.73","0.39","-3.69"
"15.200157696000002","-6.63","-2.90","-2.51"
"15.267266560000001","-6.67","-2.90","-1.61"
"15.342764032000002","-8.90","-3.77","-3.61"
"15.418261504","-10.32","-4.79","-0.51"
"15.552479232000001","-9.73","-9.96","-5.81"
"15.619588096000001","-8.12","-3.14","-6.86"
"15.653142528000002","-11.14","-3.37","-4.31"
"15.745417216000002","-5.26","-2.28","-3.10"
"15.829303296","-7.92","-0.78","-2.35"
"15.913189376000002","-7.61","-0.31","-2.28"
"15.980298240000002","-11.53","-2.24","-3.30"
"16.064184320000003","-10.63","-2.35","0.51"
"16.1480704","-17.65","1.14","-7.96"
"16.282288128","-10.51","-3.18","-4.24"
"16.3577856","-8.83","-0.78","-4.43"
"16.492003328000003","-7.10","-2.31","-3.22"
"16.559112192","-8.28","-3.65","-2.20"
"16.601055232","-8.67","-2.98","-1.92"
"16.642998272","-12.00","-4.90","-2.08"
"16.73527296","-8.90","-6.24","-1.18"
"16.802381824","-13.42","-8.00","-9.18"
"17.255366656","-14.95","-2.35","-2.47"
"17.775460352","-5.61","-3.26","-3.49"
"17.800626176","-7.85","-0.90","-2.75"
"17.817403392000003","-8.16","-1.37","-1.84"
"17.825792","-10.32","-0.16","-3.77-10.71"
"17.850957824","-12.36","-3.88","-3.14"
"17.934843904","-9.61","-5.69","-2.71"
"18.060673024","-8.83","-7.65","-7.37"
"18.136170496000002","-15.18","-1.53","-3.02"
"18.20327936","-6.04","-3.92","-3.69"
"18.270388224","-6.12","-0.82","-2.98"
"18.337497088000003","-8.08","0.08","-2.08"
"18.480103424000003","-9.18","-1.73","-2.51"
"18.522046464000002","-13.77","-0.78","-1.61"
"18.58076672","-14.59","1.06","-7.73"
"18.673041408","-8.08","-3.22","-8.28"
"18.740150272","-9.38","-3.45","-3.69"
"18.824036352","-6.28","-1.41","-2.79"
"18.907922432","-7.41","-3.41","-2.16"
"19.033751552000002","-7.26","-3.14","-1.61"
"19.092471808000003","-11.14","-3.41","-3.80"
"19.16796928","-9.45","-3.84","-0.47"
"19.235078144000003","-12.91","-8.63","-6.98"
"19.302187008","-14.71","-0.90","-3.57"
"19.436404736","-7.37","-4.82","-3.49"
"19.486736384","-6.32","-1.22","-3.61"
"19.562233856000002","-8.59","0.35","-1.77"
"19.646119936","-9.61","-1.33","-1.65"
"19.704840192000002","-14.00","-2.20","-2.20"
"19.797114880000002","-15.81","-0.24","-3.84"
"19.897778176000003","-10.43","-2.67","-8.16"
"19.998441472","-11.34","-4.59","-3.53"
"20.065550336","-7.06","-0.35","-2.51"
"20.141047808","-6.90","-2.90","-2.51"
"20.199768064","-6.79","-3.14","-1.65"
"20.275265536000003","-12.55","-2.47","-3.57"
"20.409483264000002","-8.32","-5.18","-0.75"
"20.459814912000002","-11.69","-8.20","-6.90"
"20.518535168","-13.73","-1.92","-3.73"
"20.610809856000003","-6.35","-3.69","-3.65"
"20.703084544000003","-7.41","-1.29","-2.55"
"20.7618048","-8.43","0.16","-1.57"
"20.854079488","-9.18","-1.84","-2.43"
"20.937965568000003","-13.93","-1.10","-1.33"
"21.01346304","-15.18","0.39","-5.88"
"21.156069376","-8.39","-2.28","-6.63"
"21.223178240000003","-9.96","-2.98","-4.20"
"21.281898496","-6.63","-1.06","-2.98"
"21.34900736","-7.81","-2.67","-2.28"
"21.424504832","-7.30","-3.18","-1.57"
"21.508390912000003","-12.20","-3.96","-3.49"
"21.617442816","-10.12","-3.69","1.14"
"21.659385856","-14.40","-8.75","-4.59"
"21.751660544","-9.22","-2.67","-4.75"
"21.8103808","-9.73","-3.22","-4.43"
"21.961375744","-5.61","-0.90","-2.79"
"22.028484608000003","-7.77","0.04","-1.41"
"22.095593472","-8.59","-0.94","-1.06"
"22.162702336000002","-15.34","-2.90","-2.12"
"22.2298112","-15.34","2.00","-4.51"
"22.296920064000002","-9.73","-1.41","-8.90"
