NAME:,idan_walk_2,,
EXPERIMENT TIME:,Thu Jun 01 11:48:04 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNTS OF ACTUAL STEPS:,102,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
0,-8.87,-4.39,-2.39
0.075497472,-9.34,-3.61,-2.08
0.142606336,-9.96,-3.73,-2.24
0.285212672,-9.18,-3.57,-0.51
0.402653184,-11.69,-9.18,-4.86
0.411041792,-4.94,-5.45,-6.51
0.54525952,-10.98,-4.24,-4.75
0.654311424,-7.22,-2.51,-3.26
0.654311424,-8.28,-0.2,-3.22
0.855638016,-8.59,-1.57,-2.31
0.931135488,-9.92,-2.24,-2.08
1.015021568,-13.77,-0.43,-1.96
1.023410176,-14.55,0.98,-6.63
1.149239296,-9.41,-2.59,-6.08
1.283457024,-9.96,-3.45,-4.28
1.291845632,-7.37,-2.35,-2.43
1.358954496,-7.53,-3.02,-2.31
1.518338048,-8.2,-3.49,-1.29
1.518338048,-10.51,-3.88,-2.79
1.585446912,-9.57,-5.1,-1.8
1.660944384,-10.04,-6.51,-7.34
1.694498816,-15.14,-2.08,-2.28
1.778384896,-4.9,-3.37,-3.49
1.84549376,-8.2,-0.2,-2.51
2.34881024,-8.79,-1.77,-1.84
2.357198848,-10.59,-1.61,-3.26
2.85212672,-11.41,-0.31,0.59
3.347054592,-15.69,-0.51,-7.49
3.363831808,-9.85,-3.73,-3.92
3.841982464,-7.61,-0.59,-11.06
3.850371072,-9.77,-2.67,-8.04
4.345298944,-12.28,-3.77,-3.37
4.353687552,-6.12,-1.45,-2.39
4.848615424,-7.45,-2.9,-10.52
5.343543296,-9.06,-1.22,-2.98
5.36870912,-14.98,-0.39,-1.06
5.377097728,-15.46,-0.08,-6.63
5.377097728,-7.73,-3.37,-16.63
5.427429376,-7.22,-0.63,-3.06
5.502926848,-7.69,-0.78,-1.06
5.595201536,-9.41,-1.8,-4.28
5.6623104,-11.1,-1.84,0.55
5.754585088,-15.97,0.12,-6.24
5.83008256,-10.43,-4.04,-3.84
5.905580032,-7.06,-1.37,-4.35
6.03979776,-7.41,-2.51,-2.67
6.106906624,-7.81,-2.86,-1.57
6.148849664,-9.49,-3.37,-1.57
6.232735744,-11.45,-6,-1.53
6.299844608,-11.85,-10.51,-5.61
6.400507904,-6.67,-5.77,-8.39
6.484393984,-11.45,-3.53,-4.24
6.568280064,-5.69,-2.28,-3.45
6.635388928,-8.71,-0.55,-2.98
6.719275008,-8.55,-1.33,-1.96
6.79477248,-9.3,-1.77,-3.37
6.9206016,-12.2,-1.1,-0.94
6.996099072,-18.48,0.51,-8.2
7.063207936,-8.87,-2.51,-4.55
7.1303168,-8.67,-1.37,-5.1
7.222591488,-7.53,-2.79,-3.02
7.281311744,-8.24,-2.63,-2.28
7.38197504,-8.2,-3.3,-2.55
7.440695296,-11.65,-3.41,-4
7.532969984,-9.34,-4.47,-2.35
7.600078848,-10.12,-8.12,-7.81
7.725907968,-13.22,-2.51,-3.96
7.793016832,-6.75,-4.47,-4.24
7.868514304,-7.57,-0.9,-3.84
7.935623168,-9.73,-0.9,-2.2
8.01112064,-8.16,-1.18,-0.98
8.086618112,-12.51,-3.65,-3.53
8.170504192,-11.22,-0.24,-3.3
8.246001664,-15.18,-0.55,-9.34
8.338276352,-10.9,-4.51,-2.71
8.413773824,-8.55,-0.98,-4.59
8.506048512,-7.02,-2.35,-3.53
8.5983232,-8.36,-3.37,-2.47
8.698986496,-8.32,-3.06,-1.8
8.76609536,-10.98,-5.61,-3.8
8.841592832,-13.57,-5.57,-4.04
8.908701696,-8.9,-5.49,-7.57
8.992587776,-10.75,-2.94,-4.04
9.05969664,-7.34,-4.28,-3.61
9.151971328,-7.65,-0.31,-2.75
9.235857408,-7.49,-0.86,-2.35
9.319743488,-9.65,-2.51,-3.14
9.378463744,-11.26,-0.59,0.16
9.462349824,-15.85,-1.29,-6.24
9.554624512,-9.61,-3.14,-3.88
9.630121984,-8.98,-1.06,-4.39
9.705619456,-7.22,-2.94,-3.26
9.848225792,-8.32,-3.26,-1.69
9.906946048,-9.1,-3.41,-1.18
9.965666304,-10.63,-4.2,-2.71
10.04955238,-14,-6.55,-2.71
10.10827264,-7.45,-5.65,-7.57
10.19215872,-11.73,-3.65,-4.04
10.2760448,-7.22,-3.65,-3.37
10.35993088,-7.73,-0.12,-2.31
10.82969293,-8.24,-0.82,-1.53
11.34139802,-9.14,-1.37,-2.98
11.34978662,-12.98,-1.06,-1.1
11.34978662,-15.42,-0.27,-5.69
11.36656384,-7.61,-3.8,-16.83
11.40850688,-7.69,-2,-6.2
11.49239296,-8.2,-3.18,-5.37
11.57627904,-6.59,-2,-3.45
11.71049677,-8.24,-0.67,-2.28
11.77760563,-8.67,-0.98,-0.94
11.82793728,-12.51,-3.96,-3.06
11.90343475,-13.69,-0.43,-2.9
11.99570944,-13.34,-1.69,-8.28
12.0544297,-11.53,-4.08,-3.18
12.15509299,-7.61,-0.71,-3.57
12.23059046,-7.77,-3.3,-2.86
12.32286515,-8.47,-3.53,-2.39
12.38997402,-8.39,-3.37,-2.24
12.46547149,-12.51,-3.57,-3.14
12.60807782,-10.98,-5.96,-2.71
12.67518669,-10.87,-8.08,-5.37
12.74229555,-13.26,-0.71,-3.96
12.84295885,-8.55,-3.96,-4
12.91006771,-7.85,-0.82,-3.53
12.97717658,-9.18,-0.9,-2.31
13.1030057,-9.1,-1.37,-1.8
13.1030057,-12.4,-2.98,-2.12
13.20366899,-14.51,-0.86,-2.98
13.27077786,-11.57,-1.61,-7.57
13.37144115,-12.32,-4.55,-3.18
13.48888166,-7.49,-0.82,-2.82
13.56437914,-7.57,-3.26,-2.82
13.631488,-7.26,-3.57,-1.96
13.70698547,-9.77,-3.33,-2.79
13.77409434,-10.59,-5.77,-1.18
13.84959181,-10.79,-9.92,-6.59
13.93347789,-7.73,-3.02,-7.81
14.00058675,-10.83,-4.08,-4.51
14.08447283,-6.12,-3.22,-3.49
14.17674752,-8,-0.24,-2
14.2606336,-7.22,-1.02,-1.73
14.32774246,-10.9,-2.47,-3.22
14.42840576,-10.79,0.04,-1.14
14.50390323,-16.08,1.77,-8.83
14.56262349,-10.43,-4.39,-3.33
14.70522982,-9.53,-0.55,-3.61
14.74717286,-6.2,-3.18,-2.9
14.82267034,-8.28,-3.37,-1.92
14.91494502,-8.2,-3.41,-2.28
14.97366528,-12.08,-5.61,-2.71
15.05755136,-13.45,-6.55,-3.73
15.14143744,-7.85,-6.86,-6.39
15.24210074,-13.81,-1.22,-4.04
15.29243238,-7.61,-4.51,-3.92
15.40148429,-7.14,-0.51,-2.82
15.54409062,-8.71,-1.06,-2
15.61119949,-9.18,-2.39,-1.65
15.66153114,-12.59,-1.92,-2.35
15.72025139,-16.36,1.18,-6.28
15.78736026,-7.77,-1.73,-8.28
15.88802355,-12.12,-4.55,-4.12
15.94674381,-7.34,-0.27,-3.3
16.06418432,-7.37,-2,-2.79
16.11451597,-7.06,-3.45,-2.16
16.19840205,-10,-3.69,-3.65
16.26551091,-10.08,-4.2,-0.86
16.3577856,-16.44,-8.47,-5.96
16.81077043,-6.94,-2.31,-7.34
17.32247552,-9.96,-4.24,-5.3
17.37280717,-6,-2.75,-3.06
17.38958438,-7.61,-0.16,-2.71
17.39797299,-8.71,-1.06,-12.47
17.41475021,-9.18,-2.67,-1.61
17.49863629,-11.1,-3.57,-2.86
17.56574515,-11.38,-6.39,-3.8
17.64963123,-6.75,-5.61,-6.79
17.73351731,-13.61,-3.14,-4.24
17.80062618,-5.84,-3.41,-3.33
17.89290086,-7.57,-0.2,-2.86
